row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab1_PPL_blank_Pos_MS2.mzML Peak area,DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab1_A45M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab1_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab1_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab1_A15M_Pos_MS2_rep3.mzML Peak area,
834,150.1277307054002,1.051655,,,,,,,,,,,81619.78,0,0,0,0,0,0,0,0,0,0,0,0,
1458,150.12783246211217,3.193527,,,,,,,,,,,0,160484.12,90376.305,76711.62,73032.68,89184.164,0,175378.06,63048.625,86292.555,69219.234,174635.88,35095.742,
1418,150.1278342357751,3.1726594,,,,,,,,,,,0,0,180862.78,155348.86,179107.34,182752.95,202764.25,91746.7,168632.83,182786.73,170407.94,100635.78,190752.25,
30,151.03522877641345,0.65315545,,,,,,,,,,,0,227419.23,234767.06,216268.95,245133.69,249818.03,227996.84,223716.3,221928.16,250871.08,245521.73,261982.14,244421.44,
991,151.03533410361624,1.3121305,,,,,,,,,,,98517.07,0,0,0,0,0,0,0,0,0,0,0,0,
7137,151.0753826494185,6.002278,,,,,,,,,,,0,49160.883,65025.473,44915.145,44900.082,73358.59,55780.668,89922.16,90066.02,37633.26,61488.168,74299.41,93198.79,
6905,151.07538267785523,5.936889,,,,,,,,,,,0,79641.2,73830.055,53007.938,51043.58,97414.86,159626.53,101775.16,104670.17,68598.516,80961.45,95220.12,107405.555,
5684,151.07538875187686,5.554151,,,,,,,,,,,0,97025.55,84017.76,46253.16,44306.28,85658.11,84897.24,136473.77,121630.62,47347.215,90049.81,106373.97,117858.125,
4120,151.07538883373277,5.025215,,,,,,,,,,,0,85135.16,89515.96,47091.234,44593.387,94617.75,101565.65,88457.305,114447.0,54438.805,98868.73,97027.96,96552.414,
903,151.09670249860102,1.1731712,,,,,,,,,,,45394.547,0,52689.562,45963.805,36266.133,44002.016,49366.023,58424.004,66392.14,49825.1,48923.03,63046.207,65680.37,
