ID1,ID2,EdgeType,Score,Annotation
234,235,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9823
338,339,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
339,340,MS1 annotation,3.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9928
341,342,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
341,342,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9820
354,355,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9820
360,361,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9831
381,382,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9834
381,382,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9834
409,413,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9921
410,414,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
410,413,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
413,414,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
536,537,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
536,538,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9826
537,538,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
539,540,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
539,540,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0264
547,549,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
547,549,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9822
656,660,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
668,670,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
668,669,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
669,670,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9557
672,674,MS1 annotation,2.000,[M-2H2O+Na]+ [M+NH4]+ dm/z=31.0675
716,720,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9926
719,720,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
765,766,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0268
765,766,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0268
791,792,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
791,792,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0265
808,811,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
808,811,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0266
956,957,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
956,959,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
957,959,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
1035,1047,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1035,1047,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0266
1057,1059,MS1 annotation,2.000,[M-H2O+NH4]+ [M+Na]+ dm/z=22.9660
1133,1136,MS1 annotation,2.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0265
1176,1177,MS1 annotation,2.000,[M-H+2Na]+ [M+NH4]+ dm/z=26.9381
1205,1206,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1205,1206,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0266
1223,1229,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9925
1228,1229,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
1229,1234,MS1 annotation,2.000,[M-H+2Na]+ [2M-H2O+H]+ dm/z=184.1917
1372,1379,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9811
1499,1500,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9820
1558,1559,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1558,1559,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0266
1653,1654,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9817
2200,2204,MS1 annotation,2.000,[M-H+2Na]+ [M-H2O+NH4]+ dm/z=44.9489
2215,2220,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
2358,2359,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
2563,2565,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
2688,2690,MS1 annotation,2.000,[M+NH4]+ [M-H2O+2H]2+ dm/z=271.1784
2709,2718,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
2709,2713,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
2713,2718,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
2766,2771,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
3061,3062,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
3061,3066,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
3062,3066,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
3098,3100,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
3313,3316,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
