row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Peak area,
6619,150.1277341831457,15.915251,,,,11,,,,,,,322781.97,316066.56,297437.12,309871.2,298495.2,280151.5,314194.56,310458.94,280326.8,301103.28,316294.78,298293.44,275336.47,
3488,151.11176226737,9.684117,,,,129,54,[M-H2O+NH4]+,,2,3483;3488,151.0876,0,72892.234,91449.84,88818.61,123999.58,72474.91,86713.87,92659.64,90535.35,107936.65,95607.414,84885.34,92654.02,
3026,153.09099757772745,8.525325,,,,,,,,,,,0,201655.44,189326.75,194286.9,235400.44,215591.77,221566.31,226318.05,238839.39,234986.17,145115.98,139233.22,171750.98,
6614,153.13861676053432,15.877424,,,,,,,,,,,630689.8,504660.1,483516.84,524913.56,476375.2,431051.75,471374.84,448385.28,412374.7,429941.7,474717.1,452052.4,408503.22,
685,153.1386553242643,5.3905864,,,,229,,,,,,,0,0,8439.676,8692.169,0,9102.462,0,22815.648,40643.105,47993.26,135856.67,134512.4,135126.06,
6634,153.99347286591066,16.073584,,,,276,,,,,,,135725.9,85841.336,71734.195,92928.555,63905.375,64783.707,69387.54,44475.414,37034.156,33474.95,79056.39,48701.67,37967.316,
164,153.99787353590492,0.94418263,,,,,,,,,,,75437.25,11734.457,19425.287,6166.9253,21052.559,22327.725,19212.87,16298.605,22003.076,21174.959,12215.599,15018.926,24710.822,
2,154.9901872877075,0.023030085,,,,1,,,,,,,719851.44,423381.06,332040.56,433776.06,243491.22,335254.03,249368.17,412579.75,310947.94,270903.9,253410.9,319629.06,484619.78,
6637,154.9903177500533,16.089495,,,,98,,,,,,,2743371.5,1762720.2,1867598.0,2216575.2,1950226.9,1809081.0,1244344.6,1486053.8,1739128.5,1636428.1,1494366.9,3074072.5,1480075.5,
6643,156.99080473841465,16.106918,,,,,,,,,,,75922.67,173073.27,157465.64,198461.47,48969.047,137563.97,136878.2,137655.61,41485.27,103659.586,166595.23,138150.5,42297.957,
