row ID,row m/z,row retention time,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Feature status,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Feature status,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Feature status,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Feature status,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Feature status,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Feature status,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Feature status,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Feature status,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Feature status,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Feature status,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Feature status,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Feature status,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Feature m/z,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Feature status,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Feature m/z,
1,169.9772756434542,0.023030085,1,,,,,,,ESTIMATED,169.9773414323125,ESTIMATED,169.97731156110277,ESTIMATED,169.97727729757852,DETECTED,169.97733209886331,ESTIMATED,169.9772398973409,ESTIMATED,169.97722586409355,ESTIMATED,169.977285496017,ESTIMATED,169.97730791947777,ESTIMATED,169.97719803839382,ESTIMATED,169.97725413961874,ESTIMATED,169.97724460493103,DETECTED,169.97727689261473,ESTIMATED,169.9772881225597,
2,154.9901872877075,0.023030085,1,,,,,,,DETECTED,154.99024286403733,DETECTED,154.99020239638168,DETECTED,154.99018995337153,DETECTED,154.99024844715467,DETECTED,154.99015363328675,DETECTED,154.99013597966288,DETECTED,154.99019820684313,DETECTED,154.99023236933527,DETECTED,154.99011803650248,DETECTED,154.9901670239703,DETECTED,154.99016547637507,DETECTED,154.99019042553718,DETECTED,154.99018992773915,
3,328.9152635061254,0.023030085,,,,,,,,DETECTED,328.91551725526057,ESTIMATED,328.9153283381513,ESTIMATED,328.91526442038474,ESTIMATED,328.91539465800327,ESTIMATED,328.91519958775797,ESTIMATED,328.91514949586093,ESTIMATED,328.9152792342275,ESTIMATED,328.91529770732313,ESTIMATED,328.91510400000516,ESTIMATED,328.91520984089163,ESTIMATED,328.9151923913163,ESTIMATED,328.9152469101948,ESTIMATED,328.91524174025267,
4,194.96635610562805,0.6560999,,,,,,,,UNKNOWN,0,UNKNOWN,0,ESTIMATED,194.96641289353835,ESTIMATED,194.96649169921875,ESTIMATED,194.96627673488103,ESTIMATED,194.9663848876953,ESTIMATED,194.96646118164062,ESTIMATED,194.96635610261802,ESTIMATED,194.96633423239766,ESTIMATED,194.96637094565335,DETECTED,194.96630000265145,DETECTED,194.96623419395004,ESTIMATED,194.9662942876639,
5,222.96128949012808,0.6540374,,,,,,,,UNKNOWN,0,UNKNOWN,0,ESTIMATED,222.96132856704463,ESTIMATED,222.96128845214844,ESTIMATED,222.96127684033814,ESTIMATED,222.9613800048828,ESTIMATED,222.96145629882812,ESTIMATED,222.9612365551312,ESTIMATED,222.96131175747672,ESTIMATED,222.96132742583052,DETECTED,222.96123755775392,DETECTED,222.96113352609368,ESTIMATED,222.96120740588034,
6,215.99352880047294,0.67156595,,,,,,,,ESTIMATED,215.9935302734375,ESTIMATED,215.99346318928463,ESTIMATED,215.9935883933755,ESTIMATED,215.99369372557152,ESTIMATED,215.9935323413606,ESTIMATED,215.9933694496042,ESTIMATED,215.99351723201437,ESTIMATED,215.99355632143823,ESTIMATED,215.99350360107053,ESTIMATED,215.99356049008554,ESTIMATED,215.9934968085036,DETECTED,215.99345009561674,ESTIMATED,215.99361248478587,
7,272.94424594320134,0.71880305,,,,,,,,ESTIMATED,272.9439697265625,ESTIMATED,272.94424915588786,ESTIMATED,272.94437696208695,DETECTED,272.9440248440223,DETECTED,272.9439934488322,ESTIMATED,272.9442225065145,ESTIMATED,272.9441079936379,ESTIMATED,272.9444910975837,ESTIMATED,272.94423128076386,ESTIMATED,272.9442443847656,ESTIMATED,272.94431402187104,ESTIMATED,272.94434953795593,ESTIMATED,272.94462230113373,
11,363.0333040186645,0.7370538,,,,,,,,UNKNOWN,0,ESTIMATED,363.03318983990266,ESTIMATED,363.0337366368629,ESTIMATED,363.0336077096371,ESTIMATED,363.0334174689985,ESTIMATED,363.0330588554648,ESTIMATED,363.0329508030111,ESTIMATED,363.0333011416259,DETECTED,363.0334864670057,DETECTED,363.03324230426097,DETECTED,363.0332761704658,DETECTED,363.0331798453751,ESTIMATED,363.0332009813642,
13,439.14267134258756,0.75354236,,,,,,,,UNKNOWN,0,ESTIMATED,439.14312154299995,ESTIMATED,439.1429188323632,ESTIMATED,439.1431365012326,ESTIMATED,439.14303975960075,ESTIMATED,439.1424071856193,ESTIMATED,439.1426726222156,ESTIMATED,439.14260813538186,ESTIMATED,439.1426354830485,ESTIMATED,439.1424050314032,ESTIMATED,439.14244925469825,ESTIMATED,439.14229977773596,DETECTED,439.14236198475095,
15,341.0515946617669,0.7538814,46,,,,,,,UNKNOWN,0,UNKNOWN,0,ESTIMATED,341.05190242656727,ESTIMATED,341.05207178399723,ESTIMATED,341.0521240234375,ESTIMATED,341.0513830419183,ESTIMATED,341.0515099191491,ESTIMATED,341.0515961121147,DETECTED,341.05159396132774,ESTIMATED,341.05151428201856,DETECTED,341.0513547746693,DETECTED,341.051165437339,DETECTED,341.051325516897,
