filename	ATTRIBUTE_Sample-Type	ATTRIBUTE_Batch	ATTRIBUTE_Month	ATTRIBUTE_Year	ATTRIBUTE_Sample_Location	ATTRIBUTE_Replicate	ATTRIBUTE_Spot	ATTRIBUTE_Latitude	ATTRIBUTE_Longitude	ATTRIBUTE_Sample_Area	ATTRIBUTE_Spot_Name
SD_10_2018_10_a.mzXML	Sample	3	Oct	2018	10	a	10	32.86261	-117.26042	SIO_La_Jolla_Shores	SIO_South_Pier
SD_10_2018_10_b.mzXML	Sample	3	Oct	2018	10	b	10	32.86261	-117.26042	SIO_La_Jolla_Shores	SIO_South_Pier
SD_10_2018_11_a.mzXML	Sample	3	Oct	2018	11	a	11	32.85601	-117.26253	SIO_La_Jolla_Shores	La_Jolla_Shores
SD_10_2018_11_b.mzXML	Sample	3	Oct	2018	11	b	11	32.85601	-117.26253	SIO_La_Jolla_Shores	La_Jolla_Shores
SD_10_2018_12_a.mzXML	Sample	3	Oct	2018	12	a	12	32.85161	-117.26965	La_Jolla_Cove	Cove
SD_10_2018_12_b.mzXML	Sample	3	Oct	2018	12	b	12	32.85161	-117.26965	La_Jolla_Cove	Cove
SD_10_2018_13_a.mzXML	Sample	3	Oct	2018	13	a	13	32.85197	-117.27703	La_Jolla_Cove	Cove
SD_10_2018_13_b.mzXML	Sample	3	Oct	2018	13	b	13	32.85197	-117.27703	La_Jolla_Cove	Cove
SD_10_2018_14_a.mzXML	Sample	3	Oct	2018	14	a	14	32.84638	-117.28355	La_Jolla Reefs	Hospitals
SD_10_2018_14_b.mzXML	Sample	3	Oct	2018	14	b	14	32.84638	-117.28355	La_Jolla Reefs	Hospitals
SD_10_2018_15_a.mzXML	Sample	3	Oct	2018	15	a	15	32.84007	-117.28664	La_Jolla Reefs	Horseshoe
SD_10_2018_15_b.mzXML	Sample	3	Oct	2018	15	b	15	32.84007	-117.28664	La_Jolla Reefs	Horseshoe
SD_10_2018_16_a.mzXML	Sample	3	Oct	2018	16	a	16	32.83142	-117.2872	La_Jolla Reefs	Little_Point
SD_10_2018_16_b.mzXML	Sample	3	Oct	2018	16	b	16	32.83142	-117.2872	La_Jolla Reefs	Little_Point
SD_10_2018_17_a.mzXML	Sample	3	Oct	2018	17	a	17	32.82428	-117.286	La_Jolla Reefs	Big_Rock
SD_10_2018_17_b.mzXML	Sample	3	Oct	2018	17	b	17	32.82428	-117.286	La_Jolla Reefs	Big_Rock
SD_10_2018_18_a.mzXML	Sample	3	Oct	2018	18	a	18	32.81743	-117.28343	La_Jolla Reefs	South_Bird
SD_10_2018_18_b.mzXML	Sample	3	Oct	2018	18	b	18	32.81743	-117.28343	La_Jolla Reefs	South_Bird
SD_10_2018_19_a.mzXML	Sample	3	Oct	2018	19	a	19	32.81039	-117.27733	La_Jolla Reefs	North_Bird
SD_10_2018_19_b.mzXML	Sample	3	Oct	2018	19	b	19	32.81039	-117.27733	La_Jolla Reefs	North_Bird
SD_10_2018_1_a.mzXML	Sample	3	Oct	2018	1	a	1	32.93365	-117.26483	Torrey_Pines	Lagoon_Outlet
SD_10_2018_1_b.mzXML	Sample	3	Oct	2018	1	b	1	32.93365	-117.26483	Torrey_Pines	Lagoon_Outlet
SD_10_2018_20_a.mzXML	Sample	3	Oct	2018	20	a	20	32.80386	-117.27325	Pacific_Beach	PB_Point
SD_10_2018_20_b.mzXML	Sample	3	Oct	2018	20	b	20	32.80386	-117.27325	Pacific_Beach	PB_Point
SD_10_2018_21_a.mzXML	Sample	3	Oct	2018	21	a	21	32.7955	-117.26497	Pacific_Beach	PB_Pier
