filename	ATTRIBUTE_Sample	ATTRIBUTE_Sample_Type	ATTRIBUTE_Time-Point
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML	A15M	Sample	15
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML	A15M	Sample	15
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML	A15M	Sample	15
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML	A45M	Sample	45
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML	A45M	Sample	45
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML	A45M	Sample	45
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML	A5M	Sample	5
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML	A5M	Sample	5
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML	A5M	Sample	5
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML	M	Sample	0
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML	M	Sample	0
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML	M	Sample	0
DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML	PPL	Process_Blank	NA
