"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"3488_151.112_9.684",92659.64,107936.65,90535.35,84885.34,95607.414,92654.02,88818.61,91449.84,72474.91,72892.234,86713.87,123999.58
"3026_153.091_8.525",226318.05,234986.17,238839.39,139233.22,145115.98,171750.98,194286.9,189326.75,215591.77,201655.44,221566.31,235400.44
"685_153.139_5.391",22815.648,47993.26,40643.105,134512.4,135856.67,135126.06,8692.169,8439.676,9102.462,0,0,0
"3819_157.101_10.487",79142.02,73783.61,68608.625,99552.164,105480.26,104682.83,61277.125,64415.734,58878.953,58953.492,72545.66,59660.086
"445_158.097_4.702",179699.17,189614.48,189814.78,113440.05,130959.01,192133.47,158486.98,63555.76,152527.08,185849.1,167359.47,135441.61
"3501_158.154_9.708",167225.03,165643.97,179723.14,37863.93,29725.38,36029.86,130394.164,130174.766,139707.34,112410.28,128730.17,125169.766
"4044_159.117_10.771",87909.875,104461.99,112714.16,103441.484,149735.7,106454.25,76693.65,96301.15,104123.31,76412.2,73209.23,77694.13
"950_160.076_5.809",173039.22,174041.17,168169.86,69424.336,99507.484,71854.24,122976.8,130333.37,149144.73,131869.62,123219.83,110806.02
"275_160.076_1.42",43021.49,39680.26,37331.12,38532.676,40953.7,35524.65,34858.227,41295.35,41407.15,37776.09,35405.71,35855.23
"6487_161.082_14.715",26619.256,274401.88,535480.8,163050.66,54522.125,60506.51,28024.723,49738.246,29381.43,0,46090.586,51045.96
"3245_161.096_9.125",44326.887,0,40719.953,259205.44,136768.23,129210.875,17384.174,40665.22,0,29282.67,36236.49,30514.926
"3490_161.096_9.686",131197.89,137742.94,156083.78,159393.11,213803.72,258779.78,102865.9,107349.234,108631.64,125447.05,107048.9,107779.22
"3290_161.096_9.212",94308.01,130098.234,144877.67,136155.28,113449.22,145224.84,68194.4,78030.22,95572.92,73353.99,83908.375,76709.83
"4004_161.132_10.749",156856.89,155920.66,145834.92,113038.28,141465.66,148832.08,159783.52,120617.3,114770.15,111748.31,131122.34,132222.8
"4214_161.133_11.056",150581.75,150668.06,147011.61,260136.44,227120.31,246099.1,175156.33,107294.75,127068.445,128916.05,114947.6,109670.67
"1532_162.055_6.418",58687.54,59407.72,55770.08,115128.664,134242.78,116505.26,49103.57,48173.94,51202.938,44396.25,39137.59,48481.895
"344_162.055_3.133",89279.195,94198.65,61236.133,80928.63,82996.84,88761.414,78866.25,78680.07,82586.12,77412.67,83541.445,79387.016
"5594_163.039_12.677",23725.426,21829.945,20389.293,78362.08,76898.586,80846.195,12777.488,12780.416,14259.02,6778.796,12863.897,11623.652
"2986_163.039_8.423",438162.47,439438.7,463341.03,303757.7,324390.34,328350.16,370647.12,345784.06,357651.84,344494.78,343513.1,343723.97
