"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"3488_151.112_9.684",0.00015330976596919,0.000184017587747764,0.000154715337304411,0.000107707614589945,0.000119775896438691,0.000115626189934384,0.000204720514735307,0.00020710790036803,0.000162281129372774,0.000177150380110987,0.000222813826862935,0.00030297504444601
"3026_153.091_8.525",0.000374453940033692,0.000400620068878235,0.000408151255674494,0.000176667466936894,0.000181799672900673,0.000214334050858199,0.0004478173456478,0.000428771287910432,0.000482739142678139,0.000490084277667336,0.000569321118236325,0.000575166938239712
"685_153.139_5.391",3.77495709600795e-05,8.1822105219601e-05,6.94547676589707e-05,0.000170677407156153,0.000170199713135484,0.000168628533102449,2.0034825042255e-05,1.91134678436447e-05,2.03816439845563e-05,3.07919677150547e-06,3.25559358191876e-06,3.09573130258259e-06
"3819_157.101_10.487",0.000130944223013698,0.00012579121111802,0.000117244883450131,0.000126317761249551,0.000132144487226547,0.000130637362355663,0.000141239370572223,0.000145883332539516,0.000131837942111642,0.000143274982032655,0.00018640819659989,0.000145770793800292
"445_158.097_4.702",0.000297320793579143,0.000323267390748616,0.00032437338247505,0.000143939544619413,0.000164063979593398,0.000239770072523268,0.00036530110215015,0.000143935735807678,0.000341528769091695,0.000451670046335594,0.000430035056357795,0.000330931990330847
"3501_158.154_9.708",0.000276681737739223,0.000282400869253983,0.000307127837099077,4.8044027146509e-05,3.7239622823401e-05,4.49629215836428e-05,0.000300549179643321,0.000294808853325054,0.000312823636716018,0.000273191295390707,0.000330775939424871,0.000305834224738073
"4044_159.117_10.771",0.000145451054662319,0.000178093756023844,0.000192616577760878,0.000131252763919941,0.000187587206326645,0.000132847979287055,0.000176773353072396,0.000218094738924931,0.000233146179013281,0.000185704972015493,0.000188113259135923,0.000189834372745005
"950_160.076_5.809",0.000286301590656851,0.000296716974931114,0.0002873845035595,8.80897646761011e-05,0.000124661860412402,8.9669417493497e-05,0.000283452688535667,0.000295168046314675,0.000333955229808459,0.000320483431857658,0.000316616959521011,0.000270738488262504
"275_160.076_1.42",7.11810942018105e-05,6.76495493088222e-05,6.37949355997568e-05,4.88925722124364e-05,5.13063362427231e-05,4.43324523669078e-05,8.03457087900855e-05,9.35222328815767e-05,9.27162112530784e-05,9.18074304404893e-05,9.09760080815131e-05,8.76070701438819e-05
"6487_161.082_14.715",4.40428206674876e-05,0.000467818595732324,0.000915080049859374,0.000206888464438219,6.83047069719654e-05,7.55081886088344e-05,6.45949730340792e-05,0.000112642993110196,6.57889970886075e-05,3.07919677150547e-06,0.00011843110968309,0.000124723422448602
"3245_161.096_9.125",7.33409354073978e-05,2.16006596162116e-06,6.95860927628243e-05,0.00032889542094238,0.000171341705284311,0.000161246766997675,4.00692720762928e-05,9.20951674951429e-05,2.83698442557989e-06,7.11658270916022e-05,9.31107216063643e-05,7.45588094823926e-05
"3490_161.096_9.686",0.00021707312710854,0.000234833335554559,0.000266730671173718,0.000202247545455702,0.000267850903538997,0.000322940332145957,0.000237098508935353,0.000243115509659244,0.000243240939862037,0.000304874626168023,0.000275065281603365,0.000263342940112025
"3290_161.096_9.212",0.000156037072258429,0.000221800131752506,0.000247580614444271,0.000172761991913162,0.000142127910977388,0.000181231153629713,0.000157183192464568,0.000176716274511311,0.000214000698932275,0.000178272588149206,0.000215605025350618,0.000187429378016408
