uniqueID,mz,RT,Annotated_names,La_Jolla_Cove,La_Jolla_Cove.pval,Mission_Bay,Mission_Bay.pval,Mission_Beach,Mission_Beach.pval,Pacific_Beach,Pacific_Beach.pval,SIO_La_Jolla_Shores,SIO_La_Jolla_Shores.pval,Torrey_Pines,Torrey_Pines.pval,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,MeanDecreaseGini,MeanDecreaseGini.pval,RF significant features
91372,906.258,12.697,"NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",0.957566024,0.053892216,2.439733829,0.001996008,2.905495359,0.001996008,0.765595884,0.055888224,2.592514142,0.001996008,3.432058425,0.001996008,3.641888067,0.001996008,0.178158641,0.001996008,RF significant features
90597,906.258,12.403,"NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",-0.570652008,0.958083832,2.888959772,0.001996008,2.478438037,0.001996008,1.686569328,0.003992016,2.141444396,0.001996008,2.877294907,0.001996008,3.269279743,0.001996008,0.104435161,0.001996008,RF significant features
90743,908.258,12.555,"NA;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",-1.1353541,1,2.534076932,0.001996008,2.215716784,0.001996008,1.402752094,0.001996008,2.544762318,0.001996008,2.752794185,0.001996008,3.048545648,0.001996008,0.112688548,0.001996008,RF significant features
90429,907.259,12.326,"NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",-0.094072919,0.966067864,1.611698257,0.001996008,0.961986401,0.087824351,1.499886994,0.001996008,0.389819378,0.077844311,2.87998578,0.001996008,2.976247916,0.001996008,0.095512262,0.001996008,RF significant features
33200,260.196,4.886,NA,1.413899397,0.001996008,2.95234798,0.001996008,1.415913679,0.007984032,1.001001503,0.023952096,2.346141734,0.001996008,1.71058925,0.001996008,2.934035875,0.001996008,0.091501279,0.001996008,RF significant features
53617,424.868,6.93,NA,1.732917483,0.001996008,2.899885303,0.001996008,2.277935581,0.001996008,-1.93145693,1,1.412859872,0.003992016,2.343857296,0.001996008,2.925877788,0.001996008,0.090277387,0.001996008,RF significant features
91133,907.259,12.628,NA;THEAFLAVIN DIGALLATE,-1.001001503,1,1.81379297,0.001996008,1.675694379,0.001996008,0.885678584,0.057884232,2.435249644,0.001996008,2.232028569,0.001996008,2.754828356,0.001996008,0.089279702,0.001996008,RF significant features
88009,871.572,11.312,Pheophytin a;Chlorophyll a,1.823748982,0.001996008,1.781314185,0.001996008,1.813325465,0.001996008,1.389425036,0.003992016,2.130385467,0.001996008,2.743466891,0.001996008,2.729330544,0.001996008,0.076492036,0.001996008,RF significant features
60583,506.326,7.811,NA,1.032520257,0.007984032,2.305094236,0.001996008,1.901793965,0.001996008,1.001001503,0.061876248,-0.633554647,0.94011976,1.675775487,0.001996008,2.702570866,0.001996008,0.066297915,0.001996008,RF significant features
92112,906.258,12.941,"NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",1.001001503,0.057884232,1.463719426,0.001996008,1.614584209,0.001996008,1.406064428,0.003992016,1.725853243,0.001996008,2.600580512,0.001996008,2.660643215,0.001996008,0.071343106,0.001996008,RF significant features
79387,209.153,10.22,NA;(.+/-.)-trans-Nerolidol - 40.0 eV,2.559365825,0.001996008,1.610067785,0.001996008,1.417050503,0.001996008,1.412859872,0.001996008,-1.453096716,1,2.222529436,0.001996008,2.608023316,0.001996008,0.081874386,0.001996008,RF significant features
86594,755.487,11.127,NA,0,0.932135729,1.417050503,0.001996008,0.267663038,0.063872255,0,0.956087824,2.097706798,0.001996008,0.595567264,0.123752495,2.35797531,0.001996008,0.039472243,0.001996008,RF significant features
