,Sample Name,Assigned Cluster
0,SD_01-2018_10_a.mzXML,4
1,SD_01-2018_10_b.mzXML,4
2,SD_01-2018_11_a.mzXML,4
3,SD_01-2018_11_b.mzXML,4
4,SD_01-2018_12_a.mzXML,4
5,SD_01-2018_12_b.mzXML,4
6,SD_01-2018_13_a.mzXML,4
7,SD_01-2018_13_b.mzXML,4
8,SD_01-2018_14_a.mzXML,4
9,SD_01-2018_14_b.mzXML,4
10,SD_01-2018_15_a.mzXML,4
11,SD_01-2018_15_b.mzXML,4
12,SD_01-2018_16_a.mzXML,4
13,SD_01-2018_16_b.mzXML,4
14,SD_01-2018_17_a.mzXML,4
15,SD_01-2018_17_b.mzXML,4
16,SD_01-2018_18_a.mzXML,4
17,SD_01-2018_18_b.mzXML,4
18,SD_01-2018_19_a.mzXML,4
19,SD_01-2018_19_b.mzXML,4
20,SD_01-2018_1_a.mzXML,4
21,SD_01-2018_1_b.mzXML,4
22,SD_01-2018_20_a.mzXML,4
23,SD_01-2018_20_b.mzXML,4
24,SD_01-2018_21_a.mzXML,4
25,SD_01-2018_21_b.mzXML,4
26,SD_01-2018_22_a.mzXML,4
27,SD_01-2018_22_b.mzXML,4
28,SD_01-2018_23_a.mzXML,4
29,SD_01-2018_23_b.mzXML,4
30,SD_01-2018_24_a.mzXML,4
31,SD_01-2018_24_b.mzXML,4
32,SD_01-2018_25_a.mzXML,1
33,SD_01-2018_25_b_180117091040.mzXML,1
34,SD_01-2018_26_a.mzXML,1
35,SD_01-2018_26_b.mzXML,1
36,SD_01-2018_27_a.mzXML,1
37,SD_01-2018_27_b.mzXML,1
38,SD_01-2018_28_a.mzXML,2
39,SD_01-2018_28_b.mzXML,2
40,SD_01-2018_29_a.mzXML,2
41,SD_01-2018_29_b.mzXML,2
42,SD_01-2018_2_a.mzXML,4
43,SD_01-2018_2_b.mzXML,4
44,SD_01-2018_30_a.mzXML,1
45,SD_01-2018_30_b.mzXML,1
46,SD_01-2018_3_a.mzXML,4
47,SD_01-2018_3_b.mzXML,4
48,SD_01-2018_4_a.mzXML,4
49,SD_01-2018_4_b.mzXML,4
50,SD_01-2018_5_a.mzXML,4
51,SD_01-2018_5_b.mzXML,4
52,SD_01-2018_6_a.mzXML,4
53,SD_01-2018_6_b.mzXML,4
54,SD_01-2018_7_a.mzXML,4
55,SD_01-2018_7_b.mzXML,4
56,SD_01-2018_8_a.mzXML,4
57,SD_01-2018_8_b.mzXML,4
58,SD_01-2018_9_a.mzXML,4
59,SD_01-2018_9_b.mzXML,4
60,SD_10_2018_10_a.mzXML,3
61,SD_10_2018_10_b.mzXML,3
62,SD_10_2018_11_a.mzXML,3
63,SD_10_2018_11_b.mzXML,3
64,SD_10_2018_12_a.mzXML,3
65,SD_10_2018_12_b.mzXML,3
66,SD_10_2018_13_a.mzXML,3
67,SD_10_2018_13_b.mzXML,3
68,SD_10_2018_14_a.mzXML,3
69,SD_10_2018_14_b.mzXML,3
70,SD_10_2018_15_a.mzXML,3
71,SD_10_2018_15_b.mzXML,3
72,SD_10_2018_16_a.mzXML,3
73,SD_10_2018_16_b.mzXML,3
74,SD_10_2018_17_a.mzXML,3
75,SD_10_2018_17_b.mzXML,3
76,SD_10_2018_18_a.mzXML,3
77,SD_10_2018_18_b.mzXML,3
78,SD_10_2018_19_a.mzXML,3
79,SD_10_2018_19_b.mzXML,3
80,SD_10_2018_1_a.mzXML,3
81,SD_10_2018_1_b.mzXML,3
82,SD_10_2018_20_a.mzXML,3
83,SD_10_2018_20_b.mzXML,3
84,SD_10_2018_21_a.mzXML,3
85,SD_10_2018_21_b.mzXML,3
86,SD_10_2018_22_a.mzXML,3
87,SD_10_2018_22_b.mzXML,3
88,SD_10_2018_23_a.mzXML,3
89,SD_10_2018_23_b.mzXML,3
90,SD_10_2018_24_a.mzXML,3
91,SD_10_2018_24_b.mzXML,3
92,SD_10_2018_25_a.mzXML,3
93,SD_10_2018_25_b.mzXML,3
94,SD_10_2018_26_a.mzXML,3
95,SD_10_2018_26_b.mzXML,3
96,SD_10_2018_27_a.mzXML,3
97,SD_10_2018_27_b.mzXML,3
98,SD_10_2018_28_a.mzXML,3
99,SD_10_2018_28_b.mzXML,3
100,SD_10_2018_29_a.mzXML,3
101,SD_10_2018_29_b.mzXML,3
102,SD_10_2018_2_a.mzXML,3
103,SD_10_2018_2_b.mzXML,3
104,SD_10_2018_30_a.mzXML,3
105,SD_10_2018_30_b.mzXML,3
106,SD_10_2018_3_a.mzXML,3
107,SD_10_2018_3_b.mzXML,3
108,SD_10_2018_4_a.mzXML,3
109,SD_10_2018_4_b.mzXML,3
110,SD_10_2018_5_a.mzXML,3
111,SD_10_2018_5_b.mzXML,3
112,SD_10_2018_6_a.mzXML,3
113,SD_10_2018_6_b.mzXML,3
114,SD_10_2018_7_a.mzXML,3
115,SD_10_2018_7_b.mzXML,3
116,SD_10_2018_8_a.mzXML,3
117,SD_10_2018_8_b.mzXML,3
118,SD_10_2018_9_a.mzXML,3
119,SD_10_2018_9_b.mzXML,3
