,metabolite,p,F,MS,Significance
0,X2_161.096_0.235_nan;Massbank:LU096701 4-Methylumbelliferone|7-hydroxy-4-methylchromen-2-one,0.09427876180630296,1.838233984999866,1.7979850516811755,Non-significant
1,X4_167.154_0.474_nan,0.5677864849650328,0.8043534179348092,0.8141864356877236,Non-significant
2,"X11_172.956_0.487_nan;""6-methoxypurine, oxamethane CollisionEnergy:102040""",0.35340872223154807,1.118602157204648,1.1203972019351025,Non-significant
3,X15_289.168_0.501_nan,0.3141928368505385,1.1892486091446135,1.1883540976820368,Non-significant
4,X16_291.165_0.501_nan,0.31916734838075894,1.179930261642124,1.1794088216114462,Non-significant
5,X17_453.234_0.503_nan,0.3376193445248479,1.1463021597254408,1.1470808175678242,Non-significant
6,X19_451.237_0.503_nan,0.4852031150021694,0.9153904618052445,0.9231224184025341,Non-significant
7,X21_534.268_0.503_nan,0.41529967883936386,1.0178771954095642,1.022950671728517,Non-significant
8,X35_192.062_0.547_nan,0.3617710256354759,1.1042984185060976,1.1065989731518229,Non-significant
9,X39_153.033_0.55_nan,0.020508120167546964,2.5750072949791134,2.4595447356979325,Significant
10,X42_151.035_0.551_nan,0.04133228633990962,2.2431440741691007,2.165442413007432,Significant
11,X50_208.955_0.553_nan,0.2481143530044314,1.3256377099939214,1.3186501370581951,Non-significant
12,X51_309.974_0.544_nan,0.5577690220122902,0.8174041215707027,0.8270325041465467,Non-significant
13,X56_286.958_0.543_nan,0.6470263238124926,0.703675503490667,0.7147055824556511,Non-significant
14,X58_241.999_0.549_nan,0.06369929898783577,2.0332240416683187,1.9761426747075417,Non-significant
15,X65_169.046_0.55_nan,0.18583739250275996,1.485094002972049,1.4694964087339333,Non-significant
16,X66_400.939_0.545_nan,0.4119945624224799,1.0229845620585787,1.0279076264288454,Non-significant
17,X67_239.966_0.549_nan,0.2861511539608446,1.244032841268802,1.2408328914643654,Non-significant
18,X69_257.977_0.548_nan,0.17484824148140468,1.5178887272098944,1.5003238329403146,Non-significant
19,X79_268.947_0.546_nan,0.8591355156569934,0.4286589299814964,0.43947000545027554,Non-significant
20,"X83_280.993_0.549_nan;""methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate CollisionEnergy:102040""",0.3416417197438793,1.1391558965423887,1.1402014905791444,Non-significant
21,X86_223.989_0.551_nan,0.33120963530111697,1.1578226110637357,1.1581640399692958,Non-significant
22,X91_423.954_0.546_nan,0.6249378904578771,0.7313911634259329,0.7421592886882178,Non-significant
23,X92_353.947_0.547_nan,0.5377669411959861,0.8437642403507817,0.8529448389511463,Non-significant
24,"X94_218.984_0.548_nan;""3,4-Dihydroxymandelic acid CollisionEnergy:102040""",0.38065086748147275,1.0728580987435785,1.0762233979344302,Non-significant
25,X109_202.97_0.55_nan,0.7700034291297672,0.5493654182999079,0.5609070388090588,Non-significant
26,X112_216.951_0.549_nan,0.30866504951869084,1.1997375052008727,1.1984164173397198,Non-significant
27,X115_221.982_0.55_nan,0.6323966129218405,0.7220110498106695,0.732873595161808,Non-significant
28,X117_190.988_0.551_nan,0.7078792198852659,0.6277935030882341,0.6392764675030546,Non-significant
29,X120_214.004_0.55_nan,0.011229375577849521,2.854453047109033,2.702416331174332,Significant
30,X121_234.961_0.548_nan;caffeic acid CollisionEnergy:205060,0.29332785057837235,1.2296245611393812,1.2270494794181146,Non-significant
31,X128_198.94_0.55_nan,0.47710142775295306,0.9267928553897192,0.9342630298465339,Non-significant
32,X131_200.973_0.551_nan,0.7529566515650756,0.5711269941674461,0.5826942455052927,Non-significant
33,X139_244.997_0.55_nan,0.21535510343344116,1.4046419322751513,1.3935872887687066,Non-significant
34,X143_231.971_0.556_nan,0.5518078000189897,0.8252164200506946,0.8347168963882373,Non-significant
35,X148_182.962_0.552_nan,0.6940657813214706,0.6450199335186296,0.6564341579866471,Non-significant
36,X151_413.925_0.547_nan,0.2875717861904567,1.241158193327613,1.2380839678310072,Non-significant
37,X157_242.95_0.556_nan,0.19674418361980922,1.4541678190023961,1.4403642727292996,Non-significant
38,X180_182.033_0.675_nan,0.045635820216761665,2.1954766788384066,2.1226821247516567,Significant
39,X182_164.067_0.567_nan,0.3595755452895118,1.108030333109184,1.1102002688852493,Non-significant
40,X183_167.013_0.56_nan,0.3475796933768121,1.1287197137706553,1.130149237767022,Non-significant
41,X186_265.015_0.549_nan,0.16191924478548778,1.5588652606706948,1.538748757365225,Non-significant
42,X196_292.785_0.645_nan,0.23485095749767268,1.356508988068696,1.3479788734508034,Non-significant
43,X199_332.955_0.571_nan,0.3143647743153538,1.1889246493654457,1.18804320119819,Non-significant
44,X202_254.987_0.571_nan,0.13490266800300976,1.6548032083069326,1.6283086433113017,Non-significant
45,X203_164.92_0.646_nan,0.02203464522363743,2.5413849901473773,2.430031368516301,Significant
46,X204_199.996_0.57_nan,0.15556458295209574,1.580073111355944,1.5585953328472213,Non-significant
47,X205_203.053_0.593_nan,0.4397417239393441,0.9809060403751712,0.9870176744205424,Non-significant
48,X207_251.94_0.643_nan,0.16495408630166541,1.5489950882993326,1.529502676822253,Non-significant
49,X208_282.834_0.667_nan,0.11454095667014053,1.7392918878269676,1.7067149535688035,Non-significant
50,X211_256.984_0.584_nan,0.34361125544139615,1.1356795806840738,1.136853840274014,Non-significant
51,X213_178.107_0.594_nan,0.9903325305129896,0.1422435924014883,0.14727257313916034,Non-significant
52,X216_336.859_0.648_nan,0.01505829304772786,2.718866489918232,2.5851127704078194,Significant
53,X221_365.106_0.601_nan,0.18860506262272536,1.477100711181869,1.4619725098748528,Non-significant
54,X222_176.128_0.601_nan,0.5618246029490568,0.8121091600570436,0.8218219312173612,Non-significant
55,X223_179.074_0.604_nan,0.1864832056177937,1.4832196541548357,1.4677324840660182,Non-significant
56,X225_236.149_0.615_nan,0.4813767007510932,0.9207622464144922,0.9283719385252063,Non-significant
57,X227_335.095_0.605_nan,0.10537274079181704,1.7818897496563035,1.7460820829161487,Non-significant
58,X228_192.123_0.605_nan,0.9277123482236473,0.3165774924217393,0.3258097367577854,Non-significant
59,X229_173.042_0.603_nan,0.8761776726173796,0.4032487138574903,0.4137782383795126,Non-significant
60,X238_232.829_0.642_nan,0.02231314864524904,2.5354952150001675,2.424854862935136,Significant
61,X241_244.079_0.61_nan,0.34269695132685807,1.1372915220226263,1.1384062169321612,Non-significant
62,X245_527.159_0.61_nan,0.1975673083986263,1.45189432996937,1.4382203225719812,Non-significant
63,X248_206.139_0.614_nan,0.5865176308246305,0.7801865461042609,0.790368604556857,Non-significant
64,X256_160.097_0.609_nan,0.9192602376387475,0.3322256053316647,0.34173074415991816,Non-significant
65,X258_305.085_0.615_nan,0.7398857912378116,0.5876637745127888,0.5992289510365385,Non-significant
66,X260_178.014_0.616_nan,0.04931148105065187,2.158039280157131,2.0890064861642252,Significant
67,X269_245.113_0.621_nan,0.00010364722668647111,4.960204862199509,4.403390524098951,Significant
68,X270_379.122_0.621_nan,0.8679149935575596,0.4157096856382774,0.42638285844289525,Non-significant
69,X279_204.087_0.624_N-acetyl-beta-D-galactosamine - 40.0 eV;N-ACETYL-MANNOSAMINE,0.16964541452345155,1.5340475993728098,1.5154888754867397,Non-significant
70,X282_261.108_0.615_nan,4.5051419927268165e-08,8.47532839484273,6.815035438627407,Significant
71,X291_333.129_0.613_Shinorine,0.00011239681215979113,4.924062286642265,4.375985347396142,Significant
72,X297_180.102_0.63_nan,0.00014914788628257066,4.797920335772392,4.279876435453711,Significant
73,X307_266.159_0.631_nan,0.0008804038544643535,4.005767480470009,3.659449297819618,Significant
74,X315_299.16_0.635_nan,0.0023986496695189447,3.556231132472993,3.2938675074442325,Significant
75,X338_266.139_0.636_nan,0.004865912283216005,3.2365853366811685,3.0276833907664886,Significant
76,X347_220.154_0.627_nan,0.7914887096864278,0.5215205049802181,0.5329822194170185,Non-significant
77,X348_363.127_0.629_nan,0.8454018141563902,0.44839736251228746,0.45939637294994773,Non-significant
78,X352_285.144_0.629_Usujirene,4.7998146528531527e-05,5.303786933684887,4.661014366940468,Significant
79,X364_252.123_0.633_nan,1.453631257154868e-05,5.8384239914522835,5.051740472882174,Significant
80,X367_228.084_0.626_nan,0.9557891376774148,0.25728470685403776,0.2653275085100742,Non-significant
81,X414_292.118_0.642_nan,2.286542998028733e-06,6.671987486765922,5.637454330216023,Significant
82,X424_277.118_0.642_nan,0.00017531196338307103,4.725863784455136,4.224651532515479,Significant
83,X439_336.181_0.644_nan,0.01046599238820567,2.8868532498162502,2.730299119378263,Significant
84,X443_264.123_0.639_nan,0.000364315476015126,4.399741790305852,3.971713517876879,Significant
85,X446_250.144_0.639_nan,0.01622235293493908,2.6842995464884316,2.555045510610324,Significant
86,X451_349.111_0.628_nan,0.8036479902186786,0.5054974839503275,0.5168891907436229,Non-significant
87,X463_187.058_0.633_nan,0.6134370724090349,0.7459063518684943,0.7565167595315133,Non-significant
88,X467_311.16_0.641_nan,0.0013728472173237208,3.8068757176388326,3.4989442423857096,Significant
89,X469_296.149_0.638_nan,0.00018979618806394029,4.690474639202151,4.197441987835789,Significant
90,X470_278.139_0.641_nan,0.003512638717596217,3.3841726281680664,3.1512426494577332,Significant
91,X471_310.165_0.64_nan,0.0014239755543974828,3.7904828072586603,3.4856279145182896,Significant
92,X529_309.144_0.641_nan,0.0024022320285402034,3.555559265940126,3.2933135225684276,Significant
93,X550_321.144_0.643_nan,0.00045143494593998543,4.30409406938092,3.896585589225652,Significant
94,X560_217.068_0.628_nan,0.9994844771874237,0.049901380900341866,0.05183080918123458,Non-significant
95,X569_248.128_0.64_nan,0.0010832290169282995,3.9130109977606247,3.584837707253691,Significant
96,X573_303.134_0.645_nan,0.0013679819172081472,3.8084671317879497,3.500236271455744,Significant
97,X576_206.118_0.634_nan,4.639190167597612e-08,8.461662552585205,6.806539873447263,Significant
98,X577_262.144_0.641_nan,0.0006324040139883889,4.153618834220987,3.7775107076789443,Significant
99,X586_296.185_0.647_nan,0.01173977169764604,2.83397118233841,2.6847607262587645,Significant
100,X604_294.17_0.646_nan,0.017980061200030626,2.6364292297490266,2.513297541852312,Significant
101,X607_236.128_0.639_nan,1.599673124693808e-05,5.795486226238042,5.020806051099863,Significant
102,X651_282.17_0.647_nan,0.0009828957375869324,3.9565099753770805,3.6198800385783407,Significant
103,X658_258.095_0.63_nan,0.8984157192943202,0.3680865442031165,0.37815271902542474,Non-significant
104,X670_280.154_0.642_nan,0.00010969239199824405,4.93492376326058,4.384227248517083,Significant
105,X672_252.159_0.642_nan,0.0005168455190970898,4.243709030528086,3.848931519189802,Significant
106,X676_292.154_0.645_nan,0.0038779629441328925,3.33942724755849,3.113901810659533,Significant
107,X711_308.185_0.649_nan,0.005918808106305156,3.1475606671411778,2.952601012743243,Significant
108,X718_231.084_0.642_nan,1.4957150369446567e-05,5.825621884024053,5.042525241303192,Significant
109,X720_320.186_0.65_nan,0.012758293446664182,2.795578405212716,2.6516041035383657,Significant
110,X722_306.17_0.65_nan,0.008383273001610469,2.988666791121447,2.8175477148823496,Significant
111,X728_350.196_0.652_nan,0.011494360360073362,2.8437083329228106,2.693157110013901,Significant
112,X731_242.1_0.643_nan,0.819339003494326,0.48446532290608585,0.4957384371725144,Non-significant
113,X739_234.113_0.641_nan,0.8318027275926418,0.4674166036333254,0.47857130411903154,Non-significant
114,X741_276.159_0.647_nan,0.005782331003564353,3.158176545355848,2.961576265701328,Significant
115,X742_278.175_0.649_nan,0.05184487043527847,2.1337495123551724,2.0671138347010145,Non-significant
