,metabolite,stats_ID,p,H,dof,stats_p_bh,stats_significant
8840,"X91372_906.258_12.697_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",91372,4.320167353392056e-22,113.21611374279932,6,2.567263552271613e-18,True
8705,"X90743_908.258_12.555_nan;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",90743,5.6473021387409e-22,112.66103454616909,6,2.567263552271613e-18,True
8783,X91133_907.259_12.628_nan;THEAFLAVIN DIGALLATE,91133,8.49093264840478e-22,111.81580642155427,6,2.5733186546432084e-18,True
8678,"X90597_906.258_12.403_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",90597,2.6241087534831704e-21,109.47609245249865,6,5.9645991966672464e-18,True
8992,"X92112_906.258_12.941_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",92112,1.7405416666929312e-20,105.54859041998638,6,3.165000966714426e-17,True
8640,"X90429_907.259_12.326_nan;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",90429,1.154789743750528e-19,101.61498680752322,6,1.7498913916966334e-16,True
8540,"X89945_906.258_12.064_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",89945,3.1333424331700747e-18,94.73889656230813,6,4.069764200340331e-15,True
7233,X80910_243.174_10.41_nan,80910,3.255100326928695e-16,85.02943523634133,6,3.699421521554462e-13,True
1135,X10485_193.119_2.895_nan,10485,3.962235246960297e-15,79.7825020462451,6,4.0027380961514466e-12,True
4189,X54129_381.808_6.99_nan,54129,9.855486730320724e-14,73.00931336324878,6,8.960608535207602e-11,True
4125,X53617_424.868_6.93_nan,53617,2.0666852082178771e-13,71.44401353940637,6,1.7082092648288125e-10,True
8107,X88009_871.572_11.312_Pheophytin a;Chlorophyll a,88009,6.440585679180232e-13,69.03750708327351,6,4.879817082925556e-10,True
8521,"X89858_1222.343_12.055_nan;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",89858,1.6079774584846566e-12,67.09692040106404,6,1.1245946963494228e-09,True
8553,X90002_1220.343_12.137_nan;Contaminant vial septum ThermoFisher C5000-44B,90002,1.751349877236683e-12,66.91559941506927,6,1.137376648845423e-09,True
4743,X59188_312.231_7.625_nan,59188,2.0296407515006957e-12,66.60245388132181,6,1.2302329141762884e-09,True
8572,X90127_1221.344_12.04_nan;Contaminant vial septum ThermoFisher C5000-44B,90127,6.33532619184169e-12,64.18235786969203,6,3.60004910851404e-09,True
8146,X88168_907.259_11.653_nan;THEAFLAVIN DIGALLATE,88168,1.0131663318904365e-11,63.182472593292125,6,5.418651935028146e-09,True
3999,X52248_276.144_6.766_nan,52248,1.8623974045020383e-11,61.88452782893387,6,9.40717622318474e-09,True
8147,"X88170_906.258_11.615_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",88170,2.213126216336781e-11,61.516348066449865,6,1.0590391346807375e-08,True
4514,X57080_314.247_7.36_nan,57080,2.51454422625038e-11,61.24379289121537,6,1.1431118052534227e-08,True
283,X1952_329.134_0.872_nan,1952,6.850877346649012e-11,59.101524452629405,6,2.8589880007636606e-08,True
4193,X54153_379.81_6.988_nan,54153,6.917920811350697e-11,59.08068430475139,6,2.8589880007636606e-08,True
4123,X53604_426.866_6.925_nan,53604,7.796984529318803e-11,58.8246570485944,6,3.082181884372459e-08,True
7363,X82124_413.268_10.607_nan,82124,1.0511591649105948e-10,58.184926846736175,6,3.982141303069637e-08,True
8917,"X91776_832.24_12.836_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",91776,1.0951023392909554e-10,58.09718924213582,6,3.982668187533347e-08,True
4893,X60583_506.326_7.811_nan,60583,1.2255961376621026e-10,57.85595974440082,6,4.285815416778399e-08,True
7871,X86594_755.487_11.127_nan,86594,1.3802769670475015e-10,57.60120433291789,6,4.647954883109586e-08,True
8442,"X89518_981.277_12.062_nan;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",89518,1.8224462864841392e-10,57.00526234248759,6,5.917743441683498e-08,True
8639,X90428_1221.344_12.376_nan;Contaminant vial septum ThermoFisher C5000-44B,90428,2.086159619410241e-10,56.71528881645794,6,6.322454419892637e-08,True
7086,X79714_207.174_10.272_nan;b-Caryophyllene oxide,79714,2.032518242860871e-10,56.77118952326679,6,6.322454419892637e-08,True
4360,X55803_310.216_7.197_nan,55803,2.642782014333469e-10,56.20757635975232,6,7.751023894941902e-08,True
7997,"X87419_906.258_11.3_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",87419,2.94545051631965e-10,55.974700889743026,6,8.368761279493205e-08,True
8445,"X89535_1223.342_12.013_nan;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",89535,3.378727308846198e-10,55.67985568395531,6,9.035114321185185e-08,True
2856,X37281_272.164_5.298_nan,37281,3.366622474795883e-10,55.68756803221497,6,9.035114321185185e-08,True
2949,X38623_287.232_5.423_nan,38623,3.960851638702879e-10,55.33820083896046,6,1.0289160885453307e-07,True
8834,"X91357_980.277_12.674_nan;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",91357,5.304695929124979e-10,54.7099162148281,6,1.339730427433453e-07,True
8291,"X88761_906.258_11.786_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",88761,5.569309780477554e-10,54.605173251872756,6,1.36854498713789e-07,True
7523,X83437_221.19_10.686_nan;Spectral Match to (-)-Isolongifolol from NIST14,83437,5.997444378578483e-10,54.445783583896045,6,1.4349674813167253e-07,True
4324,X55328_312.232_7.138_nan,55328,8.369398850793627e-10,53.72817217957667,6,1.951142932087581e-07,True
7511,X83280_732.576_10.633_nan;DGTSA(16:0/16:4); [M+H]+ C42H74N1O7,83280,1.0318504134578047e-09,53.27698414004868,6,2.34539598978959e-07,True
2607,X33200_260.196_4.886_nan,33200,1.0922030609878027e-09,53.1544314564501,6,2.4220268854880736e-07,True
6963,X78552_189.127_10.145_nan;Spectral Match to Jasmine lactone from NIST14,78552,1.5180019424396812e-09,52.44426588346759,6,3.2861127763479953e-07,True
8677,X90590_871.572_12.385_Pheophytin a;Chlorophyll a,90590,1.6573350034216914e-09,52.254701343619786,6,3.504299965374423e-07,True
2797,X36504_214.191_5.227_nan,36504,1.949046672154597e-09,51.90458103130754,6,3.937940520717688e-07,True
8451,"X89570_907.259_12.019_nan;2,2,6b,9,9,12a-hexamethyl-4a-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxycarbonyl-10-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-6a-carboxylic acid",89570,1.933102060843038e-09,51.92232439303521,6,3.937940520717688e-07,True
1222,X11821_178.122_3.041_nan,11821,2.0989842056878765e-09,51.74447258031512,6,4.148687912633516e-07,True
8647,"X90453_1222.343_12.419_nan;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",90453,2.3599813506322695e-09,51.49120404807977,6,4.565308604244382e-07,True
7496,X83124_291.195_10.586_nan,83124,2.766017864393786e-09,51.14798189073042,6,5.23929883813923e-07,True
6288,X72626_514.301_9.484_nan,72626,4.402238453952893e-09,50.14226605768452,6,8.168398372110144e-07,True
5237,X63776_310.216_8.237_nan,63776,4.494694624795493e-09,50.09724692891131,6,8.173152705728125e-07,True
7366,X82135_435.252_10.621_nan,82135,4.719939206211926e-09,49.991321362799226,6,8.414448482917418e-07,True
5762,"X67923_214.216_8.859_nan;Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14",67923,5.107417442557393e-09,49.82037107722549,6,8.930122959179196e-07,True
3913,X51236_576.389_6.653_nan,51236,5.6507768357007955e-09,49.601248209535584,6,9.693747733998422e-07,True
1224,X11850_195.087_3.211_nan,11850,6.521985763597818e-09,49.29033916513197,6,1.0981091585672473e-06,True
8701,"X90725_982.276_12.376_nan;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",90725,6.804045499668838e-09,49.1985047901825,6,1.124770576054347e-06,True
1367,X13982_232.202_3.272_nan,13982,7.028911501755329e-09,49.1279696974452,6,1.1411939888207046e-06,True
7702,X85234_704.546_10.798_nan,85234,8.097506138328026e-09,48.82085891139752,6,1.2916232598189195e-06,True
3160,X42031_202.191_5.73_nan,42031,9.441090574860797e-09,48.48754859832195,6,1.4799723363212822e-06,True
4773,X59498_254.143_7.665_Irgarol,59498,1.2625907570883823e-08,47.85591107464986,6,1.9456737565165376e-06,True
7005,"X78984_219.174_10.107_nan;Massbank:AC000287 Walleminone|(1R,4S,5S,6R,9R)-5,6-dihydroxy-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undecan-3-one",78984,1.4465343049983385e-08,47.560139144669506,6,2.1042340504806414e-06,True
2147,X25460_224.15_4.304_nan,25460,1.4271481873092287e-08,47.58948811706448,6,2.1042340504806414e-06,True
7663,X84748_363.31_10.856_nan;Massbank:LU122303 2-Ethylhexyl diphenyl phosphate,84748,1.4580592298754996e-08,47.54287650910578,6,2.1042340504806414e-06,True
9006,X92161_1296.362_12.976_nan;Contaminant vial septum ThermoFisher C5000-44B,92161,1.3928697873975444e-08,47.64236829160442,6,2.1042340504806414e-06,True
334,X2299_355.113_0.997_nan,2299,1.7706865953902142e-08,47.12013249437291,6,2.5154816445762228e-06,True
6697,X76069_325.2_10.038_nan;2'-Hydroxy-a-naphthoflavone CollisionEnergy:205060,76069,2.2315051965806565e-08,46.61634694086342,6,3.1213608072786663e-06,True
7652,X84654_581.399_10.907_nan,84654,2.3433369027426792e-08,46.509785420111164,6,3.228124109050976e-06,True
6865,X77562_370.258_10.042_nan,77562,2.3998300182514723e-08,46.457865254757394,6,3.256605153125729e-06,True
4045,X52780_302.232_6.83_nan;Massbank:RP024902 Decanoyl-L-Carnitine|Decanoylcarnitine|3-decanoyloxy-4-(trimethylazaniumyl)butanoate,52780,2.570075211915104e-08,46.30845996384873,6,3.4363417392253124e-06,True
2026,X23648_400.284_4.143_nan,23648,3.000280429980097e-08,45.97092029875171,6,3.95341299556218e-06,True
6454,X74057_244.263_9.666_nan,74057,3.17499491812359e-08,45.84742707684229,6,4.123864827939954e-06,True
1341,X13685_238.093_3.249_nan,13685,3.457202218368942e-08,45.66158021288524,6,4.42716655907189e-06,True
3368,X44925_472.311_6.095_nan,44925,3.542439600130467e-08,45.60841140915901,6,4.4733140061647515e-06,True
4431,X56362_301.07_7.267_nan,56362,3.637849868797034e-08,45.550387613514914,6,4.4840123888496615e-06,True
4253,X54684_180.138_7.059_nan,54684,3.6495481387469744e-08,45.543377839165146,6,4.4840123888496615e-06,True
8975,"X92039_981.278_12.937_nan;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",92039,3.778513503953618e-08,45.467549708009926,6,4.580565970392839e-06,True
7687,X85047_259.205_10.892_nan;Spectral Match to Sumaresinolic acid from NIST14,85047,3.915366504606638e-08,45.389852016124024,6,4.68401477103731e-06,True
1345,X13725_194.103_3.24_nan,13725,4.1890548394637755e-08,45.242265193370145,6,4.94634890914346e-06,True
7123,X80036_203.143_10.307_nan,80036,5.310458111128578e-08,44.72379783098006,6,6.19008783927962e-06,True
7237,X80950_313.273_10.391_nan,80950,6.307843622036351e-08,44.34726017496446,6,7.259609393867658e-06,True
8993,"X92113_980.277_12.951_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",92113,7.922498396464272e-08,43.84821218156874,6,9.003919427581645e-06,True
6864,X77559_293.174_10.026_nan;dihydroauroglaucin,77559,8.402426319704819e-08,43.719347247800215,6,9.43146420972299e-06,True
8120,"X88072_908.258_11.533_nan;(2S,3S,4S,5R,6R)-6-[[(3S,6aR,6bS,8aR,14bR)-9-hydroxy-4,4,6a,6b,8a,11,11,14b-octamethyl-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-5-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,4-dihydroxyoxane-2-carboxylic acid",88072,8.978991006004237e-08,43.57389139754738,6,9.95573002763299e-06,True
2371,X29198_562.306_4.617_nan,29198,1.0844687195155517e-07,43.159883272968464,6,1.1879505539560718e-05,True
2401,X29732_307.164_4.662_nan;Massbank:LU077002 3-Hydroxy-4-butyrophenetidide|Bucetin|N-(4-ethoxyphenyl)-3-hydroxybutanamide,29732,1.112615938798722e-07,43.10366277880087,6,1.2042742994711882e-05,True
78,X352_285.144_0.629_Usujirene,352,1.2647858813965841e-07,42.82230407202792,6,1.3528744980773815e-05,True
5432,X65395_520.343_8.472_nan,65395,1.4487977157378547e-07,42.52398359861525,6,1.531682422266113e-05,True
2186,X26276_382.233_4.549_nan,26276,1.506315175179774e-07,42.438442070008804,6,1.538810963228596e-05,True
4144,X53803_377.812_6.957_nan,53803,1.4864844319459517e-07,42.46756206521715,6,1.538810963228596e-05,True
8405,"X89388_908.258_12.002_nan;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",89388,1.4919515498557359e-07,42.45949558368866,6,1.538810963228596e-05,True
8715,X90811_361.079_12.46_nan,90811,1.5535933494765567e-07,42.37052842463188,6,1.5694745259378728e-05,True
7679,X84960_223.205_10.827_nan;amyl amine-C11:1,84960,1.6269855718890156e-07,42.26907356784697,6,1.6255552549027396e-05,True
7059,X79525_704.546_10.549_nan;DGTSA(14:0/18:1); [M+H]+ C42H80N1O7,79525,1.6886115928668993e-07,42.187341416001686,6,1.6687887611245488e-05,True
7040,X79387_209.153_10.22_nan;(.+/-.)-trans-Nerolidol - 40.0 eV,79387,2.0132845260957611e-07,41.80052179251061,6,1.9682562270174904e-05,True
6173,X71459_395.243_9.368_nan,71459,2.3364841858052423e-07,41.472782381829234,6,2.2599270443980068e-05,True
7037,X79350_309.205_10.218_nan;Massbank:NA002994 [6]-Gingerol|5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one,79350,2.3712803634446734e-07,41.44022662164923,6,2.269440112046207e-05,True
3246,X43340_303.133_5.821_nan,43340,2.623534888453839e-07,41.217526089625494,6,2.4847061672731566e-05,True
8591,"X90184_980.277_12.362_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",90184,2.802485705569055e-07,41.07210445117199,6,2.626824745879778e-05,True
8873,X91526_1296.363_12.697_nan;Contaminant vial septum ThermoFisher C5000-44B,91526,2.9914434437882283e-07,40.92825337992893,6,2.7753269174410788e-05,True
7784,X85994_871.572_11.022_Pheophytin a;Chlorophyll a,85994,3.1898659321164627e-07,40.786617074842006,6,2.9129476201145355e-05,True
1904,X21870_246.18_3.969_nan,21870,3.223800619063286e-07,40.763274859840344,6,2.9129476201145355e-05,True
8996,X92133_871.572_12.965_Pheophytin a;Chlorophyll a,92133,3.2358964983674446e-07,40.755013666559535,6,2.9129476201145355e-05,True
8795,"X91178_832.239_12.595_nan;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",91178,3.366629912996063e-07,40.66763607530174,6,3.000921487152961e-05,True
8688,X90662_1296.362_12.49_nan;Contaminant vial septum ThermoFisher C5000-44B,90662,3.4214810420642096e-07,40.631976413715456,6,3.0202044305289123e-05,True
3329,X44484_203.106_5.92_nan,44484,3.793075671646008e-07,40.40440710047062,6,3.316023462173606e-05,True
3495,X46681_385.148_6.125_nan,46681,3.9288460585482553e-07,40.32675465520765,6,3.402006510887689e-05,True
97,X576_206.118_0.634_nan,576,4.1269352024894466e-07,40.21811950071617,6,3.4742680426883376e-05,True
