Metabolite,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,p-bh,Significance
X2716_252.123_1.231_nan,36.589038754227985,177.1243975486714,two-sided,1.6966872049824882e-84,[1.83 2.04],4.638502493481249,5.035e+80,1.0,1.5426280067700781e-80,True
X4504_301.175_2.04_nan,37.11559119942826,171.3928143913658,two-sided,7.579157665771707e-84,[1.85 2.06],5.020726708630721,4.696e+81,1.0,3.4454850748598176e-80,True
X61401_256.19_7.915_nan;methyl (Z)-tetradec-9-enoate,34.80592938768564,110.72449229178302,two-sided,1.8612027749358773e-61,[1.87 2.1 ],5.639909843672598,2.174e+77,1.0,5.6406852099056656e-58,True
X44803_456.274_5.953_nan,-23.6150730887468,177.94068558575333,two-sided,9.921469905794218e-57,[-1.89 -1.6 ],3.029966942139393,8.928e+52,1.0,2.255150109587026e-53,True
X68756_402.3_8.994_nan,-22.3733763449276,156.8832155653524,two-sided,1.1184389807261935e-50,[-1.81 -1.52],2.6618779352296924,7.17e+49,1.0,2.0337694425525103e-47,True
X55608_504.332_7.175_nan,-21.551533974843434,169.45214683376946,two-sided,2.0247935775746451e-50,[-1.88 -1.57],2.9369801264322413,5.781e+47,1.0,3.0682372012181125e-47,True
X50281_412.284_6.645_nan,-23.481397533537397,135.299660329046,two-sided,1.440322229182368e-49,[-1.81 -1.53],2.6902885909593817,4.183e+52,1.0,1.8707728153894412e-46,True
X58151_402.3_7.524_nan,-19.049383489725653,177.5960336834761,two-sided,8.75181638009673e-45,[-1.78 -1.45],2.4827399847212686,1.495e+41,1.0,9.946439315979934e-42,True
X68138_334.237_8.886_nan,26.73862013174318,89.58032324519664,two-sided,1.7773594559313327e-44,[1.79 2.08],4.726249395024199,2.381e+60,1.0,1.795528019258631e-41,True
X53588_469.306_6.926_nan,-19.872299818709784,153.78184286276107,two-sided,2.5227479853012957e-44,[-1.74 -1.42],2.350199181920137,2.374e+43,1.0,2.293682468235938e-41,True
X82136_323.221_10.554_nan,18.55764570912187,171.1894130324705,two-sided,7.706953622475266e-43,[1.45 1.8 ],2.5123793859381514,6.981e+39,1.0,6.370147485049556e-40,True
X2451_195.113_1.111_nan,24.909526487467485,89.22234801668422,two-sided,5.982962564613075e-42,[1.76 2.07],4.410786953452861,1.231e+56,1.0,4.53309130312184e-39,True
X29703_256.19_4.659_nan,-19.61252925227892,132.50839929767704,two-sided,5.26841117675889e-41,[-1.7  -1.39],2.236981621431416,4.834e+42,1.0,3.684645724545525e-38,True
X60853_402.3_7.84_nan,-17.74210979579052,163.3823640117379,two-sided,6.103617539598926e-40,[-1.79 -1.43],2.466809081629166,4.106e+37,1.0,3.9638636192881026e-37,True
X60937_412.165_7.857_nan,-17.59625598167495,163.65782551962198,two-sided,1.40168368242974e-39,[-1.67 -1.34],2.1239879492934355,1.627e+37,1.0,8.496072027100798e-37,True
X4925_355.073_2.127_nan,21.448309939378355,100.37950270137516,two-sided,2.8657245672922347e-39,[1.66 2.  ],3.6125997305110933,3.137e+47,1.0,1.6284479853638123e-36,True
X66448_406.25_8.625_nan,-18.88659361211462,127.17484684533902,two-sided,1.0278009398002247e-38,[-1.67 -1.35],2.1360079609033487,5.436e+40,1.0,5.496921261566849e-36,True
X57805_551.347_7.455_nan,-18.7586435955574,128.64392338307508,two-sided,1.2570405235315242e-38,[-1.66 -1.35],2.1264759458240956,2.45e+40,1.0,6.34945135552701e-36,True
X49672_311.148_6.48_nan;zawadskinolide C,-16.785794007390127,175.77603749365952,two-sided,2.3329835971531819e-38,[-1.68 -1.32],2.107793958177538,9.182e+34,1.0,1.1163940455429858e-35,True
X44225_592.384_6.008_nan,-18.90974036395683,123.94360838901622,two-sided,2.467219849843413e-38,[-1.66 -1.35],2.1277428167491834,6.278e+40,1.0,1.1215981437388155e-35,True
X2683_243.134_1.201_nan,21.212191134706334,96.07766139767334,two-sided,5.018633125484069e-38,[1.66 2.01],3.6379655218355054,7.714e+46,1.0,2.1728291608048168e-35,True
X46839_344.222_6.162_nan,-17.636442759041522,144.36609616100333,two-sided,7.727625352160701e-38,[-1.64 -1.31],2.0510987164956718,2.1e+37,1.0,3.080925293115837e-35,True
"X62200_208.133_8.026_nan;""methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate CollisionEnergy:102040""",-16.84955864318829,166.48902110491605,two-sided,8.132666853803352e-38,[-1.65 -1.3 ],2.0479260397608754,1.383e+35,1.0,3.080925293115837e-35,True
X62216_346.204_8.025_nan,-18.519786142448176,126.4427696751575,two-sided,7.971920381502694e-38,[-1.65 -1.33],2.0921012166845636,5.509e+39,1.0,3.080925293115837e-35,True
X47962_263.127_6.242_nan,-16.549037305371993,175.30409824172628,two-sided,1.1712248079281123e-37,[-1.66 -1.31],2.0727208969174487,2.002e+34,1.0,4.2595103814729586e-35,True
X48471_410.253_6.348_nan,-17.36210669647748,143.57212530069467,two-sided,4.3352651406572665e-37,[-1.63 -1.3 ],2.0164795082818463,3.668e+36,1.0,1.5160088714944565e-34,True
X62539_468.978_8.06_nan,-18.50013470469504,119.11485853212582,two-sided,7.978635110666066e-37,[-1.64 -1.33],2.0658538798574115,4.871e+39,1.0,2.6867314972657726e-34,True
X23179_222.135_4.384_nan,-17.607902762524862,134.15321756833603,two-sided,1.0871102956305372e-36,[-1.63 -1.3 ],2.0136362365391043,1.752e+37,1.0,3.4239790708543342e-34,True
X12925_223.133_3.157_nan,18.02904366721766,125.91670665709213,two-sided,1.0921182694102034e-36,[1.51 1.88],2.7833279150187002,2.52e+38,1.0,3.4239790708543342e-34,True
X79472_328.248_10.17_nan,23.666127443069342,75.17387786371447,two-sided,1.413575653563897e-36,[1.76 2.09],4.553983559335725,1.192e+53,1.0,4.28407661406765e-34,True
