"feature","cluster"
"X44554_325.2_5.927_NA","cluster1"
"X2233_216.123_1.024_NA","cluster1"
"X37227_532.363_5.3_NA","cluster1"
"X59926_488.205_7.72_NA","cluster1"
"X59959_510.186_7.725_NA","cluster1"
"X72453_221.153_9.536_NA;Methyl Jasmonate (Mixiture of isomers) CollisionEnergy:205060","cluster1"
"X38147_273.228_5.376_NA","cluster1"
"X34956_259.212_5.125_NA","cluster1"
"X11052_405.162_2.957_NA","cluster1"
"X61201_382.222_7.968_NA","cluster1"
"X84215_876.51_10.797_NA","cluster1"
"X85025_363.253_10.883_NA","cluster1"
"X42_151.035_0.551_NA","cluster1"
"X12302_182.117_3.097_NA","cluster1"
"X30578_197.117_4.859_Loliolide","cluster1"
"X79722_479.3_10.243_NA","cluster1"
"X78819_425.289_10.179_NA","cluster1"
"X77422_407.279_10.179_NA","cluster1"
"X23915_250.107_4.171_NA","cluster1"
"X20739_342.154_3.897_NA","cluster1"
"X19573_236.128_3.896_NA","cluster1"
"X32534_332.222_4.737_NA","cluster1"
"X22210_360.181_3.892_NA","cluster1"
"X17686_235.144_3.586_NA","cluster1"
"X20340_219.113_3.861_NA","cluster1"
"X10713_249.123_2.919_NA;Spectral Match to 5,3'-Dihydroxy-6,7,4'-trimethoxyflavone from NIST14","cluster1"
"X32656_330.206_4.828_NA","cluster1"
"X16489_284.221_3.504_NA","cluster1"
"X36302_465.295_5.217_NA","cluster1"
"X20748_196.097_3.9_NA","cluster1"
"X60137_181.122_7.746_NA;Spectral Match to 9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid from NIST14","cluster1"
"X7906_260.164_2.803_NA","cluster1"
"X85214_283.205_10.98_NA","cluster1"
"X47331_388.248_6.109_NA","cluster1"
"X32822_274.216_4.863_NA","cluster1"
"X41208_344.222_5.634_NA","cluster1"
"X4996_246.149_2.15_NA","cluster1"
"X33016_314.211_5.051_NA","cluster1"
"X7735_234.149_2.647_NA","cluster1"
"X75863_533.345_9.869_NA","cluster1"
"X22476_334.201_3.993_NA","cluster1"
"X16667_284.16_3.526_NA","cluster1"
"X63364_431.298_8.189_NA","cluster1"
"X7035_282.169_2.331_NA","cluster1"
"X67267_430.295_8.751_NA","cluster1"
"X86950_613.389_11.099_NA","cluster1"
"X3972_210.149_1.911_NA","cluster1"
"X8551_168.065_2.676_NA","cluster1"
"X2303_206.117_1.054_NA","cluster1"
"X56612_505.327_7.297_NA","cluster1"
"X50646_572.306_6.593_NA","cluster1"
"X13309_242.175_3.197_NA","cluster1"
"X22226_251.175_4.015_NA","cluster1"
"X15029_236.164_3.267_NA","cluster1"
"X17951_177.102_3.645_NA","cluster1"
"X19687_264.195_4.057_NA","cluster1"
"X73187_465.282_9.566_NA","cluster1"
"X18737_212.164_3.818_NA","cluster1"
"X12714_364.233_3.14_NA","cluster1"
"X70558_454.331_9.263_NA","cluster1"
"X16681_191.081_3.528_NA","cluster1"
"X2100_352.196_0.939_NA","cluster1"
"X41436_330.206_5.64_NA","cluster1"
"X61221_334.237_7.891_NA","cluster1"
"X73461_537.303_9.598_NA","cluster1"
"X73023_588.351_9.55_NA","cluster1"
"X46402_196.133_5.928_NA","cluster1"
"X29345_336.216_4.625_NA","cluster1"
"X25409_336.216_4.342_NA","cluster1"
"X37755_223.133_5.314_NA","cluster1"
"X59091_668.436_7.616_NA","cluster1"
"X61581_607.337_7.944_NA","cluster1"
"X37301_328.227_5.281_NA","cluster1"
"X5978_290.138_2.257_NA","cluster1"
"X61371_289.179_7.768_NA","cluster1"
"X37957_318.242_5.362_NA","cluster1"
"X41191_493.327_5.64_NA","cluster1"
"X27217_414.979_4.448_NA","cluster1"
"X27206_412.982_4.447_NA","cluster1"
"X35257_509.286_5.124_NA","cluster1"
"X86471_393.278_11.015_NA","cluster1"
"X24060_344.186_4.18_NA","cluster1"
"X56797_402.264_7.318_NA","cluster1"
"X45951_388.284_6.029_NA","cluster1"
"X3937_198.149_2.017_NA","cluster1"
"X22553_276.195_4.122_NA","cluster1"
"X89088_255.138_11.849_NA","cluster1"
"X42718_404.279_5.866_NA","cluster1"
"X58299_526.942_7.512_NA","cluster1"
"X58341_530.936_7.518_NA","cluster1"
"X58369_528.939_7.527_NA","cluster1"
"X64278_356.258_8.316_NA","cluster1"
"X70921_518.168_9.302_NA","cluster1"
"X44724_302.211_5.942_NA","cluster1"
"X12809_238.18_3.012_NA","cluster1"
"X49843_492.226_6.496_NA","cluster1"
"X48859_426.249_6.39_NA","cluster1"
"X50623_577.262_6.592_NA","cluster1"
"X33529_200.164_4.989_NA","cluster1"
"X55162_426.321_7.132_NA","cluster1"
"X44453_455.028_5.917_NA","cluster1"
"X44472_457.026_5.919_NA","cluster1"
"X45067_535.252_5.978_NA","cluster1"
"X15991_329.207_3.462_NA","cluster1"
"X60759_548.217_7.838_NA","cluster1"
"X58798_551.244_7.578_NA","cluster1"
"X60253_588.212_7.771_NA","cluster1"
"X46595_508.326_6.26_NA","cluster1"
"X45887_513.324_6.057_NA;15-formyl-16-hydroxy-1,2,14,17,17-pentamethyl-8-(prop-1-en-2-yl)pentacyclo[11.7.0.0�,�?.0?,?.0�?,�?]icosane-5-carboxylic acid","cluster1"
"X68605_356.295_8.97_NA","cluster1"
"X55326_422.244_7.152_NA","cluster1"
"X40059_372.253_5.543_NA","cluster1"
"X47802_333.251_6.275_NA","cluster1"
"X62815_370.274_8.098_NA","cluster1"
"X62474_372.29_8.052_NA","cluster1"
"X60372_370.274_7.576_NA","cluster1"
"X60023_342.279_7.734_NA","cluster1"
"X61639_342.279_7.945_NA","cluster1"
"X62312_318.198_8.032_NA","cluster1"
"X38278_252.177_5.386_NA","cluster1"
"X53898_414.3_6.966_NA","cluster1"
"X49809_358.274_6.493_NA","cluster1"
"X70044_350.269_9.188_NA","cluster1"
"X57288_521.337_7.392_NA","cluster1"
"X63140_284.237_8.141_NA","cluster1"
"X65448_284.237_8.368_NA","cluster1"
"X52391_482.254_6.785_NA","cluster1"
"X53725_428.255_6.944_NA","cluster1"
"X65476_590.441_8.487_NA","cluster1"
"X39414_230.19_5.489_NA","cluster1"
"X24550_324.166_4.415_NA","cluster1"
"X26523_302.211_4.502_NA","cluster1"
"X18476_310.15_3.989_NA","cluster1"
"X15670_211.151_3.427_NA","cluster1"
"X30540_216.175_4.727_NA","cluster1"
"X64786_576.387_8.394_NA","cluster1"
"X11346_366.191_2.989_NA","cluster1"
"X51828_330.242_6.626_NA","cluster1"
"X61653_194.154_7.956_NA","cluster1"
"X21124_350.196_3.687_NA","cluster1"
"X59785_296.258_7.709_NA","cluster1"
"X43586_689.364_5.844_NA","cluster1"
"X45937_433.306_6.062_NA","cluster1"
"X57999_382.237_7.37_NA","cluster1"
"X18866_326.145_3.723_NA","cluster1"
"X65001_304.208_8.412_NA","cluster1"
"X64669_297.2_8.367_NA","cluster1"
"X45255_404.279_5.994_NA","cluster1"
"X24406_340.161_4.214_NA","cluster1"
"X36348_303.214_5.222_NA","cluster1"
"X32100_304.226_4.865_NA","cluster1"
"X35017_344.222_5.108_NA","cluster1"
"X42686_316.227_5.747_NA","cluster1"
"X19905_246.185_3.864_NA","cluster1"
"X29039_330.206_4.605_NA","cluster1"
"X10726_284.185_2.923_NA","cluster1"
"X64262_358.274_8.307_NA","cluster1"
"X59562_358.274_7.69_NA","cluster1"
"X57929_358.274_7.465_NA","cluster1"
"X54668_344.258_6.907_NA","cluster1"
"X62450_414.3_8.056_NA","cluster1"
"X68436_490.389_8.948_NA","cluster1"
"X8177_210.149_2.631_NA","cluster1"
"X76847_434.326_9.97_NA","cluster1"
"X7877_183.12_2.593_NA","cluster1"
"X65640_452.121_8.508_NA","cluster1"
"X23678_363.264_4.144_NA","cluster1"
"X64551_562.233_8.267_NA","cluster1"
"X45404_402.264_5.924_NA","cluster1"
"X25799_293.149_4.199_NA","cluster1"
"X64869_423.288_8.393_NA","cluster1"
"X72650_451.32_9.506_NA","cluster1"
"X54869_382.222_7.049_NA","cluster1"
"X8007_212.164_2.608_NA","cluster1"
"X13125_254.175_3.182_NA","cluster1"
"X37517_426.175_5.323_NA","cluster1"
"X1275_346.889_0.709_NA","cluster1"
"X45753_235.133_5.997_NA;santonin CollisionEnergy:205060","cluster1"
"X1871_261.094_0.884_NA","cluster1"
"X38775_242.138_5.478_NA;Parthenolide [M+NH4]+","cluster1"
"X60617_359.184_7.828_NA","cluster1"
"X90172_800.602_12.234_NA;DGCC (40:7)","cluster1"
"X89320_800.602_11.877_DGCC (38:6);DGCC (40:7)","cluster1"
"X87576_800.602_11.457_NA;DGCC (40:7)","cluster1"
"X91895_800.603_12.788_NA;DGCC (42:11)","cluster1"
"X90929_800.603_12.531_DGCC (38:6);DGCC (40:7)","cluster1"
"X45424_382.185_5.89_NA","cluster1"
"X17624_342.154_3.529_NA","cluster1"
"X39406_354.191_5.484_NA","cluster1"
"X47367_400.196_6.139_NA","cluster1"
"X51376_398.217_6.46_NA","cluster1"
"X47089_424.195_6.133_NA","cluster1"
"X53407_319.154_6.894_NA","cluster1"
"X48061_438.211_6.174_NA","cluster1"
"X55886_389.171_7.216_NA","cluster1"
"X41788_365.219_5.689_NA","cluster1"
"X29065_320.222_4.607_NA","cluster1"
"X63485_237.148_8.162_NA","cluster1"
"X58160_289.118_7.496_NA","cluster1"
"X46456_362.199_6.115_NA","cluster1"
"X53111_182.117_6.864_NA","cluster1"
"X52004_336.216_6.717_NA","cluster1"
"X46792_394.222_6.155_NA","cluster1"
"X29311_342.07_4.616_NA","cluster1"
"X67365_343.295_8.765_NA","cluster1"
"X51955_178.122_6.741_NA","cluster1"
"X53133_436.231_6.882_NA","cluster1"
"X46563_412.233_6.086_NA","cluster1"
"X49917_309.205_6.504_NA","cluster1"
"X77531_200.201_10.047_Spectral Match to Lauric acid leelamide from NIST14;Spectral Match to Palmitamide from NIST14","cluster1"
"X60937_412.165_7.857_NA","cluster1"
"X26884_218.959_4.421_NA","cluster1"
"X26867_216.961_4.42_NA","cluster1"
"X26783_198.95_4.416_NA","cluster1"
"X26805_200.948_4.419_NA","cluster1"
"X5211_287.131_2.098_NA","cluster1"
"X229_173.042_0.603_NA","cluster1"
"X90095_685.203_11.984_NA;7-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-6-methoxychromen-2-one","cluster1"
"X89492_684.202_11.982_ACARBOSE;Contaminants septum vial Thermo C4000-53 and C4000-54 serie","cluster1"
