"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value","p_BH","significant"
"1","X59188_312.231_7.625_NA","Mission_Bay-La_Jolla Reefs",0,1.90069952412761,1.43440822317387,2.36699082508134,0,0,"Significant"
"2","X33200_260.196_4.886_NA","Mission_Bay-La_Jolla Reefs",0,1.82989575870389,1.35576762842498,2.30402388898279,0,0,"Significant"
"3","X57080_314.247_7.36_NA","Mission_Bay-La_Jolla Reefs",0,1.77696445827548,1.2744615828014,2.27946733374957,3.26405569239796e-14,2.03890608100702e-11,"Significant"
"4","X55328_312.232_7.138_NA","Mission_Bay-La_Jolla Reefs",0,1.70243151840843,1.17910184856305,2.22576118825381,4.27435864480685e-14,2.03890608100702e-11,"Significant"
"5","X37281_272.164_5.298_NA","Mission_Bay-La_Jolla Reefs",0,1.676822636931,1.14804205646524,2.20560321739676,4.51860771022439e-14,2.03890608100702e-11,"Significant"
"6","X13982_232.202_3.272_NA","Mission_Bay-La_Jolla Reefs",0,1.67124629079025,1.13525162858637,2.20724095299412,4.54081217071689e-14,2.03890608100702e-11,"Significant"
"7","X21870_246.18_3.969_NA","Mission_Bay-La_Jolla Reefs",0,1.72039659279088,1.2084989567721,2.23229422880967,4.56301663120939e-14,2.03890608100702e-11,"Significant"
"8","X47253_300.195_6.208_NA","Mission_Bay-La_Jolla Reefs",0,1.68291492166659,1.1574094092847,2.20842043404848,4.6074255521944e-14,2.03890608100702e-11,"Significant"
"9","X36504_214.191_5.227_NA","Mission_Bay-La_Jolla Reefs",0,1.71798553161701,1.179629494894,2.25634156834002,4.87387907810444e-14,2.03890608100702e-11,"Significant"
"10","X68554_370.204_8.964_NA","Mission_Bay-La_Jolla Reefs",0,1.60997280747135,1.06422066378624,2.15572495115646,7.53841433720481e-14,2.75499320326586e-11,"Significant"
"11","X60583_506.326_7.811_NA","Mission_Bay-La_Jolla Reefs",0,1.66600966314404,1.09878333890182,2.23323598738626,8.04911692853238e-14,2.75499320326586e-11,"Significant"
"12","X55803_310.216_7.197_NA","Mission_Bay-La_Jolla Reefs",0,1.56835946915596,1.00611364669132,2.1306052916206,5.74984504453369e-13,1.80401388272244e-10,"Significant"
"13","X63776_310.216_8.237_NA","Mission_Bay-La_Jolla Reefs",0,1.53442883696712,0.968741526525512,2.10011614740873,2.13573603247141e-12,6.18542012481144e-10,"Significant"
"14","X11821_178.122_3.041_NA","Mission_Bay-La_Jolla Reefs",0,1.51561874920847,0.954825012045558,2.07641248637138,2.52964316160842e-12,6.80293321675407e-10,"Significant"
"15","X27492_504.3_4.378_NA","Mission_Bay-La_Jolla Reefs",0,1.51737892077774,0.947298463679338,2.08745937787614,5.16831022423503e-12,1.29724586628299e-09,"Significant"
"16","X28008_548.327_4.518_NA","Mission_Bay-La_Jolla Reefs",0,1.51208311514382,0.941079056887551,2.08308717340008,6.55375753666476e-12,1.54218107034643e-09,"Significant"
"17","X82124_413.268_10.607_NA","Mission_Bay-La_Jolla Reefs",0,1.51111415142423,0.938065016057916,2.08416328679055,7.95796761821066e-12,1.76245576956254e-09,"Significant"
"18","X82429_430.295_10.594_NA","Mission_Bay-La_Jolla Reefs",0,1.51351532398705,0.937365981998349,2.08966466597575,9.47819600582989e-12,1.98252266455275e-09,"Significant"
"19","X29977_592.353_4.676_NA","Mission_Bay-La_Jolla Reefs",0,1.49745068675605,0.924139298218855,2.07076207529325,1.23140386776299e-11,2.44012398006719e-09,"Significant"
"20","X25213_460.274_4.187_NA","Mission_Bay-La_Jolla Reefs",0,1.49781262868094,0.923522393329206,2.07210286403268,1.31616939569312e-11,2.4776888873923e-09,"Significant"
"21","X11171_192.138_3.012_NA","Mission_Bay-La_Jolla Reefs",0,1.479273060351,0.907471680547524,2.05107444015448,1.89833704311582e-11,3.4034471273005e-09,"Significant"
"22","X1985_174.055_0.945_NA","Mission_Bay-La_Jolla Reefs",0,1.50331220983645,0.919049921416795,2.08757449825611,2.42098563418836e-11,4.13713570648055e-09,"Significant"
