"","term","contrast","null.value","estimate","conf.low","conf.high","adj.p.value","p_BH","significant"
"1","X57102_309.205_7.364_NA","Mission_Bay-La_Jolla Reefs",0,1.77696445827548,1.2744615828014,2.27946733374957,3.26405569239796e-14,8.58987880825168e-11,"Significant"
"2","X21902_430.228_4_NA","Mission_Bay-La_Jolla Reefs",0,1.72039659279088,1.2084989567721,2.23229422880967,4.56301663120939e-14,8.58987880825168e-11,"Significant"
"3","X2754_311.123_1.074_NA","Mission_Bay-La_Jolla Reefs",0,1.51737892077774,0.947298463679338,2.08745937787614,5.16831022423503e-12,6.48622933141496e-09,"Significant"
"4","X82127_363.31_10.554_NA","Mission_Bay-La_Jolla Reefs",0,1.51111415142423,0.938065016057916,2.08416328679055,7.95796761821066e-12,7.49043702064078e-09,"Significant"
"5","X11855_198.185_3.045_NA","Mission_Bay-La_Jolla Reefs",0,1.46240643688161,0.893493846226469,2.03131902753676,2.5273338977172e-11,1.90308242498105e-08,"Significant"
"6","X18525_394.185_3.684_NA","Mission_Bay-La_Jolla Reefs",0,1.44880921388499,0.868651207107734,2.02896722066224,8.92216300840687e-11,4.99151079992797e-08,"Significant"
"7","X78067_393.263_10.088_NA","Mission_Bay-La_Jolla Reefs",0,1.46314367357336,0.876705222461874,2.04958212468484,9.28036536507193e-11,4.99151079992797e-08,"Significant"
"8","X79806_964.437_10.283_NA","Mission_Bay-La_Jolla Reefs",0,1.43651140621843,0.851896085200892,2.02112672723598,1.7663637219556e-10,8.31294926645354e-08,"Significant"
"9","X91358_672.541_12.646_NA.GalCer.d18.1.16.0....M.H...C40H78N1O8","Mission_Bay-La_Jolla Reefs",0,1.4227002401376,0.839564264493122,2.00583621578208,2.37418418258528e-10,9.93200383048176e-08,"Significant"
"10","X18063_446.259_3.656_NA.Spectral.Match.to.Undecaethylene.glycol.from.NIST14","Mission_Bay-La_Jolla Reefs",0,1.43128069578887,0.841683074366139,2.02087831721161,2.91692336951144e-10,1.09822164862106e-07,"Significant"
"11","X78606_399.358_10.16_NA.Massbank..Myristamidopropyl.betaine.carboxymethyl.dimethyl..3..tetradecanoylamino.propyl.azanium","Mission_Bay-La_Jolla Reefs",0,1.41122484011828,0.816412839942621,2.00603684029393,7.33952454368136e-10,2.47272689130051e-07,"Significant"
