"","term","df","sumsq","meansq","statistic","p.value","p_BH","significant"
"1","X59188_312.231_7.625_NA",6,102.928145584801,17.1546909308002,39.0126092474416,9.30482591371642e-30,8.45994772075097e-26,"Significant"
"2","X33200_260.196_4.886_NA",6,100.349620509935,16.7249367516558,36.7883038428562,1.58255831891373e-28,7.19431011778183e-25,"Significant"
"3","X57080_314.247_7.36_NA",6,90.6540838082138,15.1090139680356,29.5866467760191,3.0199883565936e-24,9.15257804604966e-21,"Significant"
"4","X21870_246.18_3.969_NA",6,87.3197847392611,14.5532974565435,27.4619824225065,6.91695542366403e-23,1.57222396779884e-19,"Significant"
"5","X80910_243.174_10.41_NA",6,83.8276385620651,13.9712730936775,25.3963462573369,1.62053333574511e-21,2.94677781771891e-18,"Significant"
"6","X55328_312.232_7.138_NA",6,83.1791340348583,13.8631890058097,25.0293260642996,2.87201857978404e-21,4.32831778578021e-18,"Significant"
"7","X76223_982.448_9.906_NA",6,82.9362382412499,13.8227063735416,24.8931351306872,3.55480843840051e-21,4.32831778578021e-18,"Significant"
"8","X55979_529.37_7.232_NA",6,82.8576062183217,13.809601036387,24.8491938397131,3.80846263597027e-21,4.32831778578021e-18,"Significant"
"9","X47253_300.195_6.208_NA",6,82.3806907253941,13.730115120899,24.5842154508118,5.77760875235483e-21,5.81738534292786e-18,"Significant"
"10","X60857_587.411_7.849_NA",6,82.2635295105609,13.7105882517602,24.5195194279231,6.39835607449171e-21,5.81738534292786e-18,"Significant"
"11","X37281_272.164_5.298_NA",6,81.1726316091898,13.528771934865,23.9245681779119,1.64448378418421e-20,1.35924059689116e-17,"Significant"
"12","X77241_1073.44_10.014_NA",6,80.072198543097,13.3453664238495,23.3377105052896,4.21395918561546e-20,3.19277640963465e-17,"Significant"
"13","X77309_1068.484_10.018_NA",6,78.6298727076465,13.1049787846078,22.5880089115904,1.42251837052816e-19,9.94887463449387e-17,"Significant"
"14","X13982_232.202_3.272_NA",6,78.4851321851398,13.08085536419,22.5139626326037,1.60558590128982e-19,1.0427133581805e-16,"Significant"
"15","X74958_901.367_9.766_NA",6,78.2950436737733,13.0491739456289,22.4170405802149,1.88173689169095e-19,1.14058345461694e-16,"Significant"
"16","X36504_214.191_5.227_NA",6,77.5975260003352,12.9329210000559,22.0645043928323,3.35963025823482e-19,1.90910989424193e-16,"Significant"
"17","X73232_815.33_9.575_NA",6,76.5549893694347,12.7591648949058,21.5465400728859,7.92701900514824e-19,4.23955628204752e-16,"Significant"
"18","X68554_370.204_8.964_NA",6,74.7921880864108,12.4653646810685,20.6943035289241,3.31391010714739e-18,1.67389281634356e-15,"Significant"
"19","X11821_178.122_3.041_NA",6,68.9688413573692,11.4948068928949,18.0730769084199,3.12371279080718e-16,1.45982585225826e-13,"Significant"
"20","X76145_987.403_9.903_NA",6,68.932380700383,11.4887301167305,18.0575388369583,3.2112315271849e-16,1.45982585225826e-13,"Significant"
"21","X55803_310.216_7.197_NA",6,68.3982876119784,11.3997146019964,17.8311039093728,4.80799089492603e-16,2.08163110555559e-13,"Significant"
"22","X66917_643.256_8.699_NA",6,68.1541165053992,11.3590194175665,17.7283115735618,5.77820530540073e-16,2.3879746653047e-13,"Significant"
"23","X61934_557.219_7.981_NA",6,67.8853117341536,11.3142186223589,17.6156712691758,7.07054912957316e-16,2.79501881243822e-13,"Significant"
