"","Comparison","Z","P.unadj","P.adj","significant"
"X57080_314.247_7.36_NA","La_Jolla Reefs - Mission_Bay",-6.62473036310729,3.47882602487881e-11,7.30553465224551e-10,"Significant"
"X60583_506.326_7.811_NA","La_Jolla Reefs - Mission_Bay",-6.6224685910475,3.53249136701912e-11,7.41823187074015e-10,"Significant"
"X47253_300.195_6.208_NA","La_Jolla Reefs - Mission_Bay",-6.60777047182358,3.90150953207202e-11,8.19317001735125e-10,"Significant"
"X55803_310.216_7.197_NA","La_Jolla Reefs - Mission_Bay",-6.52973593659636,6.58857477269789e-11,1.38360070226656e-09,"Significant"
"X59188_312.231_7.625_NA","La_Jolla Reefs - Mission_Bay",-6.23570556882444,4.49746312123335e-10,4.72233627729502e-09,"Significant"
"X37281_272.164_5.298_NA","La_Jolla Reefs - Mission_Bay",-6.28546455413969,3.26874741903971e-10,6.86436957998339e-09,"Significant"
"X82124_413.268_10.607_NA","La_Jolla Reefs - Mission_Bay",-6.19499367174833,5.82873719957346e-10,1.22403481191043e-08,"Significant"
"X53604_426.866_6.925_NA","La_Jolla Reefs - Mission_Bay",-6.13732164138055,8.39243593119968e-10,1.76241154555193e-08,"Significant"
"X59498_254.143_7.665_Irgarol","La_Jolla Reefs - Mission_Bay",-5.75055842019902,8.89491604711996e-09,6.22644123298397e-08,"Significant"
"X36504_214.191_5.227_NA","La_Jolla Reefs - Mission_Bay",-5.93262811281339,2.98123598237451e-09,6.26059556298647e-08,"Significant"
"X63776_310.216_8.237_NA","La_Jolla Reefs - Mission_Bay",-5.87721772070292,4.17219318138317e-09,8.76160568090467e-08,"Significant"
"X28008_548.327_4.518_NA","La_Jolla Reefs - Mission_Bay",-5.85007644202351,4.91347144894924e-09,1.03182900427934e-07,"Significant"
"X54129_381.808_6.99_NA","La_Jolla Reefs - Mission_Bay",-5.68157141417737,1.33462764835758e-08,1.40135903077546e-07,"Significant"
"X53617_424.868_6.93_NA","La_Jolla Reefs - Mission_Bay",-5.58432096097311,2.34615070575701e-08,2.46345824104486e-07,"Significant"
"X82135_435.252_10.621_NA","La_Jolla Reefs - Mission_Bay",-5.64538306122082,1.64813865621303e-08,3.46109117804736e-07,"Significant"
"X91531_981.278_12.699_NA..2S.3R.4S.5S.6R..2...2R.3R.4S.5S.6R..2....3S.6S.8R.10R.12R.13R.14R.17S..3.12.dihydroxy.4.4.8.10.14.pentamethyl.17...2S..6.methyl.2...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyhept.5.en.2.yl..2.3.5.6.7.9.11.12.13.15.16.17.dodecahydro.1H.cyclopenta.a.phenanthren.6.yl.oxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.6..hydroxymethyl.oxane.3.4.5.triol","La_Jolla Reefs - Mission_Bay",-5.57979167148709,2.40806827007112e-08,5.05694336714935e-07,"Significant"
"X90725_982.276_12.376_NA..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl..9..hydroxymethyl..2.2.6a.6b.9.12a.hexamethyl.10..3.4.5.trihydroxy.6...3.4.5.trihydroxy.6.methyloxan.2.yl.oxymethyl.oxan.2.yl.oxy.1.3.4.5.6.6a.7.8.8a.10.11.12.13.14b.tetradecahydropicene.4a.carboxylate","La_Jolla Reefs - Mission_Bay",-5.56848281118817,2.56966972502875e-08,5.39630642256038e-07,"Significant"
"X55328_312.232_7.138_NA","La_Jolla Reefs - Mission_Bay",-5.36718785885242,7.99737473617656e-08,5.59816231532359e-07,"Significant"
"X2219_218.139_1.024_NA","La_Jolla Reefs - Mission_Bay",-5.47236031373512,4.44080768294354e-08,9.32569613418144e-07,"Significant"
"X72953_693.439_9.535_NA","La_Jolla Reefs - Mission_Bay",-5.43051471554134,5.61917454663422e-08,1.18002665479319e-06,"Significant"
"X92113_980.277_12.951_NA..3S.4R..7.hydroxy.3...3S.4R..7.hydroxy.4..4.hydroxyphenyl..2.oxo.5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.3.yl..4..4.hydroxyphenyl..5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.2.one","La_Jolla Reefs - Mission_Bay",-5.26540806380465,1.39878306694401e-07,1.46872222029121e-06,"Significant"
"X29323_474.253_4.629_NA","La_Jolla Reefs - Mission_Bay",-5.36831874546406,7.94740062703637e-08,1.66895413167764e-06,"Significant"
"X80527_460.363_10.217_NA","La_Jolla Reefs - Mission_Bay",-5.34682914932934,8.95084326529697e-08,1.87967708571236e-06,"Significant"
"X91357_980.277_12.674_NA..2S.3R.4S.5S.6R..2...2R.3R.4S.5S.6R..2....3S.6S.8R.10R.12R.13R.14R.17S..3.12.dihydroxy.4.4.8.10.14.pentamethyl.17...2S..6.methyl.2...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyhept.5.en.2.yl..2.3.5.6.7.9.11.12.13.15.16.17.dodecahydro.1H.cyclopenta.a.phenanthren.6.yl.oxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.6..hydroxymethyl.oxane.3.4.5.triol","La_Jolla Reefs - Mission_Bay",-5.20659928162273,1.92332810520869e-07,2.01949451046913e-06,"Significant"
"X65538_577.355_8.494_NA","La_Jolla Reefs - Mission_Bay",-5.2812377595956,1.28314044775909e-07,2.69459494029409e-06,"Significant"
"X13685_238.093_3.249_NA","La_Jolla Reefs - Mission_Bay",-5.13988229396978,2.74910626596845e-07,2.88656157926687e-06,"Significant"
"X49733_442.191_6.505_NA","La_Jolla Reefs - Mission_Bay",-5.2676671272369,1.38168353352138e-07,2.90153542039489e-06,"Significant"
"X54153_379.81_6.988_NA","La_Jolla Reefs - Mission_Bay",-5.0064401805642,5.54458821195666e-07,2.91090881127725e-06,"Significant"
"X17675_430.264_3.616_NA","La_Jolla Reefs - Mission_Bay",-5.26540535517711,1.39880369170728e-07,2.93748775258528e-06,"Significant"
"X90000_1147.325_12.243_NA.Contaminant.vial.septum.ThermoFisher.C5000.44B","La_Jolla Reefs - Mission_Bay",5.25862003899776,1.45140429431075e-07,3.04794901805258e-06,"Significant"
"X78052_547.325_10.093_NA","La_Jolla Reefs - Mission_Bay",-5.12291371541072,3.00850042430731e-07,3.15892544552268e-06,"Significant"
"X13982_232.202_3.272_NA","La_Jolla Reefs - Mission_Bay",-5.12065457751449,3.04476917548148e-07,3.19700763425556e-06,"Significant"
