"","statistic","p.value","parameter","method","p_BH","significant"
"X91372_906.258_12.697_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",114.169293533865,2.72693209103478e-22,6,"Kruskal-Wallis rank sum test",2.21901069044334e-18,"Significant"
"X91133_907.259_12.628_NA;THEAFLAVIN DIGALLATE",112.963113873542,4.88123777044289e-22,6,"Kruskal-Wallis rank sum test",2.21901069044334e-18,"Significant"
"X90597_906.258_12.403_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",109.492692347043,2.6031937861338e-21,6,"Kruskal-Wallis rank sum test",6.45339866453706e-18,"Significant"
"X92112_906.258_12.941_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",109.312696951095,2.83915471383065e-21,6,"Kruskal-Wallis rank sum test",6.45339866453706e-18,"Significant"
"X90743_908.258_12.555_NA;[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] 9-(hydroxymethyl)-2,2,6a,6b,9,12a-hexamethyl-10-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxy-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",108.537812052384,4.12465346120287e-21,6,"Kruskal-Wallis rank sum test",7.50026985385131e-18,"Significant"
"X90429_907.259_12.326_NA;(2S,3R,4S,5S,6R)-2-[(2R,3R,4S,5S,6R)-2-[[(3S,6S,8R,10R,12R,13R,14R,17S)-3,12-dihydroxy-4,4,8,10,14-pentamethyl-17-[(2S)-6-methyl-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyhept-5-en-2-yl]-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-6-yl]oxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",103.738988643339,4.15815332404987e-20,6,"Kruskal-Wallis rank sum test",6.30098833704357e-17,"Significant"
"X89945_906.258_12.064_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",85.6097968723797,2.46780272779162e-16,6,"Kruskal-Wallis rank sum test",3.20532320015449e-13,"Significant"
"X80910_243.174_10.41_NA",84.7963346633927,3.6379204549446e-16,6,"Kruskal-Wallis rank sum test",4.13449659704454e-13,"Significant"
"X10485_193.119_2.895_NA",79.7383568651525,4.04629517947057e-15,6,"Kruskal-Wallis rank sum test",4.08765730797182e-12,"Significant"
"X54129_381.808_6.99_NA",72.8616431348477,1.05689978395149e-13,6,"Kruskal-Wallis rank sum test",9.60933283568696e-11,"Significant"
"X88009_871.572_11.312_Pheophytin a;Chlorophyll a",70.0102286678945,4.06916479855074e-13,6,"Kruskal-Wallis rank sum test",3.36334966803848e-10,"Significant"
"X53617_424.868_6.93_NA",68.1416144051438,9.82767800003463e-13,6,"Kruskal-Wallis rank sum test",7.290378665981e-10,"Significant"
"X89858_1222.343_12.055_NA;(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,12aS,14bR)-8a-(acetyloxymethyl)-8,9-dihydroxy-4-(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(E)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",68.016674340086,1.04239906134792e-12,6,"Kruskal-Wallis rank sum test",7.290378665981e-10,"Significant"
"X59188_312.231_7.625_NA",67.6329138530796,1.24909835525005e-12,6,"Kruskal-Wallis rank sum test",8.11200160423816e-10,"Significant"
"X90002_1220.343_12.137_NA;Contaminant vial septum ThermoFisher C5000-44B",67.2901345406179,1.46807228612828e-12,6,"Kruskal-Wallis rank sum test",8.89847548365222e-10,"Significant"
"X83280_732.576_10.633_NA;DGTSA(16:0/16:4); [M+H]+ C42H74N1O7",67.016830366278,1.66980119602896e-12,6,"Kruskal-Wallis rank sum test",9.48864529643459e-10,"Significant"
"X90127_1221.344_12.04_NA;Contaminant vial septum ThermoFisher C5000-44B",65.3318396478637,3.69067038233948e-12,6,"Kruskal-Wallis rank sum test",1.97385735977827e-09,"Significant"
"X54153_379.81_6.988_NA",64.3404379984094,5.88183217151218e-12,6,"Kruskal-Wallis rank sum test",2.97097878352159e-09,"Significant"
"X57080_314.247_7.36_NA",62.327376202169,1.51322503384742e-11,6,"Kruskal-Wallis rank sum test",7.2411800040741e-09,"Significant"
"X52248_276.144_6.766_NA",61.9149964190709,1.83598843584826e-11,6,"Kruskal-Wallis rank sum test",8.3464034293662e-09,"Significant"
"X59498_254.143_7.665_Irgarol",61.329671626044,2.41539647925453e-11,6,"Kruskal-Wallis rank sum test",1.04575165663725e-08,"Significant"
"X60583_506.326_7.811_NA",60.150938714958,4.19415532267304e-11,6,"Kruskal-Wallis rank sum test",1.73333000880651e-08,"Significant"
"X1952_329.134_0.872_NA",59.099109883364,6.8586117803174e-11,6,"Kruskal-Wallis rank sum test",2.71123905681069e-08,"Significant"
"X82124_413.268_10.607_NA",58.1849268467363,1.05115916491054e-10,6,"Kruskal-Wallis rank sum test",3.98214130306942e-08,"Significant"
"X37281_272.164_5.298_NA",57.5502941477389,1.41344799433123e-10,6,"Kruskal-Wallis rank sum test",5.1404276657838e-08,"Significant"
"X90428_1221.344_12.376_NA;Contaminant vial septum ThermoFisher C5000-44B",56.9177614078167,1.89831285449737e-10,6,"Kruskal-Wallis rank sum test",6.63825402811157e-08,"Significant"
"X87419_906.258_11.3_NA;(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one",56.6483706773072,2.15223293541771e-10,6,"Kruskal-Wallis rank sum test",7.24744512919177e-08,"Significant"
"X55803_310.216_7.197_NA",56.5588474524249,2.24390091665916e-10,6,"Kruskal-Wallis rank sum test",7.25921975331515e-08,"Significant"
