"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p_BH","significant"
"X2716_252.123_1.231_NA",-1.92563749904554,-0.641879166348512,1.28375833269702,-36.589141687156,1.69582471163541e-84,177.124504866731,-2.02949740468235,-1.82177759340872,"Welch Two Sample t-test","two.sided",1.54184382781891e-80,"Significant"
"X4504_301.175_2.04_NA",-1.95033820343959,-0.650112734479864,1.30022546895973,-37.1211301962642,7.51805018208345e-84,171.370548504475,-2.05404677743702,-1.84662962944217,"Welch Two Sample t-test","two.sided",3.41770561277514e-80,"Significant"
"X61401_256.19_7.915_NA;methyl (Z)-tetradec-9-enoate",-1.98132632132911,-0.660442107109702,1.3208842142194,-34.8039731985649,1.8382835754794e-61,110.747519937329,-2.09413611418115,-1.86851652847706,"Welch Two Sample t-test","two.sided",5.57122475608625e-58,"Significant"
"X44803_456.274_5.953_NA",1.7361004767272,0.578700158909066,-1.15740031781813,23.6165970926201,9.84154811405333e-57,177.938783661605,1.59103319394985,1.88116775950455,"Welch Two Sample t-test","two.sided",2.23698388632432e-53,"Significant"
"X68756_402.3_8.994_NA",1.65793537680511,0.552645125601703,-1.10529025120341,22.3717517053947,1.11099925879151e-50,156.928663511995,1.51155669379173,1.80431405981849,"Welch Two Sample t-test","two.sided",2.02024105218649e-47,"Significant"
"X55608_504.332_7.175_NA",1.71814022678644,0.572713408928814,-1.14542681785763,21.5491274765327,2.0673685213873e-50,169.428739736772,1.56074547848417,1.87553497508871,"Welch Two Sample t-test","two.sided",3.13275243274222e-47,"Significant"
"X50281_412.284_6.645_NA",1.66470535067268,0.554901783557558,-1.10980356711512,23.481367649335,1.42752520006338e-49,135.321571367182,1.52450039268708,1.80491030865827,"Welch Two Sample t-test","two.sided",1.85415130271089e-46,"Significant"
"X58151_402.3_7.524_NA",1.61221094529362,0.537403648431206,-1.07480729686241,19.0483729729017,8.8405353949344e-45,177.579218390748,1.44518576827758,1.77923612230966,"Welch Two Sample t-test","two.sided",1.00472684763429e-41,"Significant"
"X68138_334.237_8.886_NA",-1.93159677875473,-0.643865592918245,1.28773118583649,-26.7362953604059,1.70963649196278e-44,89.6499024420129,-2.0751341786505,-1.78805937885896,"Welch Two Sample t-test","two.sided",1.72711277610284e-41,"Significant"
"X53588_469.306_6.926_NA",1.57383765298818,0.524612550996061,-1.04922510199212,19.8647397103401,2.72365339608203e-44,153.658231176571,1.41732151939045,1.73035378658592,"Welch Two Sample t-test","two.sided",2.47634566771778e-41,"Significant"
"X82136_323.221_10.554_NA",-1.6202270022229,-0.540075667407633,1.08015133481527,-18.5585415553813,7.74275759745547e-43,171.143028748175,-1.79255746446576,-1.44789653998004,"Welch Two Sample t-test","two.sided",6.3997410978241e-40,"Significant"
"X2451_195.113_1.111_NA",-1.90834621743927,-0.636115405813091,1.27223081162618,-24.90923201169,5.90184932853498e-42,89.2464557214033,-2.06056684819606,-1.75612558668249,"Welch Two Sample t-test","two.sided",4.47163450792e-39,"Significant"
"X29703_256.19_4.659_NA",1.53907921070073,0.513026403566911,-1.02605280713382,19.6138474603481,5.24309115872978e-41,132.502551255847,1.38386519694669,1.69429322445478,"Welch Two Sample t-test","two.sided",3.6669372934747e-38,"Significant"
"X60853_402.3_7.84_NA",1.60770129500986,0.535900431669954,-1.07180086333991,17.7424319630571,6.06957279460491e-40,163.399688543287,1.42877720548237,1.78662538453735,"Welch Two Sample t-test","two.sided",3.94175398918199e-37,"Significant"
"X60937_412.165_7.857_NA",1.50093698318457,0.50031232772819,-1.00062465545638,17.596255981675,1.40168368242974e-39,163.657825519622,1.33250922043171,1.66936474593743,"Welch Two Sample t-test","two.sided",8.4960720271008e-37,"Significant"
"X4925_355.073_2.127_NA",-1.82677428005722,-0.608924760019073,1.21784952003815,-21.4482952426891,2.86153639160574e-39,100.38285267944,-1.9957433678963,-1.65780519221814,"Welch Two Sample t-test","two.sided",1.62606805452996e-36,"Significant"
"X66448_406.25_8.625_NA",1.50515118507144,0.50171706169048,-1.00343412338096,18.8869252243656,1.0257993259361e-38,127.175834764403,1.34745569338659,1.66284667675629,"Welch Two Sample t-test","two.sided",5.48621615965355e-36,"Significant"
"X57805_551.347_7.455_NA",1.50190983492668,0.500636611642228,-1.00127322328446,18.7604422925154,1.23664722981928e-38,128.668610810496,1.34351069864732,1.66030897120605,"Welch Two Sample t-test","two.sided",6.24644256306495e-36,"Significant"
"X49672_311.148_6.48_NA;zawadskinolide C",1.49529572272788,0.498431907575961,-0.996863815151922,16.7861616140811,2.3220510723062e-38,175.789503152093,1.31949365078401,1.67109779467176,"Welch Two Sample t-test","two.sided",1.11116254470568e-35,"Significant"
"X44225_592.384_6.008_NA",1.5022567708328,0.500752256944267,-1.00150451388853,18.9098237387171,2.46580326403134e-38,123.944147970806,1.34501574099296,1.65949780067264,"Welch Two Sample t-test","two.sided",1.12095416382865e-35,"Significant"
"X2683_243.134_1.201_NA",-1.83001692583975,-0.610005641946584,1.22001128389317,-21.2121911347063,5.018633125484e-38,96.0776613976733,-2.00126361093017,-1.65877024074934,"Welch Two Sample t-test","two.sided",2.17282916080479e-35,"Significant"
"X46839_344.222_6.162_NA",1.47472346396402,0.491574487988008,-0.983148975976016,17.6364064590051,7.6727353866123e-38,144.397262863064,1.30944979089614,1.63999713703191,"Welch Two Sample t-test","two.sided",3.08483848228263e-35,"Significant"
"X62216_346.204_8.025_NA",1.489694628427,0.496564876142334,-0.993129752284669,18.5211955558801,7.88123720822927e-38,126.457729704935,1.33052788287663,1.64886137397737,"Welch Two Sample t-test","two.sided",3.08483848228263e-35,"Significant"
"X62200_208.133_8.026_NA;""methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate CollisionEnergy:102040""",1.47349410109773,0.491164700365909,-0.982329400731818,16.849727371694,8.14299643365411e-38,166.476413306701,1.30084184842752,1.64614635376793,"Welch Two Sample t-test","two.sided",3.08483848228263e-35,"Significant"
